FIPS,State,County/Borough/Parish,Year,Health_Outcomes_Rank,Yrs_Potential_Life_Lost_per_100K,Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,Healthy_Food_Access_Index,Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate_per_100K_Medicare,Graduation_Rate,Percent_Adults_with_Some_Post-secondary_Ed,Percent_Unemployed_&_Looking_for_Work,Percent_Children_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,County_Affected_by_Water_Violation,Percent_Households_with_One_or_More_Severe_Problems,Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature_Age_Adjusted_Mortality_per_100K,Child_Mortality_per_100K,Infant_Mortality_per_1K_live_births,Percent_Adults_Diagnosed_Diabetes,HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children_w/o_Health_Insurance,Other_Primary_Care_Providers_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian_Other_Pacific_Islander,Percent_Native_Hawaiian_Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
1000,Alabama,0,2015,0,9507.9,20.5,10.29638481,21.9,33.22677993,6.7,29.37120828,64.10496312,12.2,27.86392039,635,46.65229462,15.76674731,62.75374,44.33437,69.40821,71.52,76.94737199,57.95576606,6.463793142,27.4,88984,17087,38.25863629,12.50512492,417.9688725,75.1989802,12.8,4.753024332,15.19328117,32.3,72385,459.7,73.30352795,9.1,12.9,289.9,18.56959206,11.47292739,20.89055231,4.33759489,46.1756,42882,50.02665786,9.1,4833722,22.99430956,14.91947613,1270145,26.27674906,33581,0.694723445,61859,1.279738471,5136,0.106253525,198019,4.096615403,3210595,66.4207623,63069,1.402358543,51.47948103,1957932,40.9631829
2000,Alaska,0,2015,0,7320.71,13.2,5.834930872,20.8,28.34410988,7.4,20.14504738,79.26730881,19.2,33.77483444,746.7,40.26085775,22.32636166,83.94297,86.24301,289.47182,46.68,69.61582825,65.82307685,6.540213568,13.6,127980,31700,31.08543967,11.57975471,614.8558811,81.30681197,0,14.93755137,20.50648426,16.3,7234,348.1,55.12031711,6.1,6.9,108.7,13.96953171,14.77676888,9.559040835,13.50741688,116.84976,70058,34.22125992,5.3,735132,25.59159444,8.990086134,25914,3.52508121,108179,14.71558849,42816,5.824260133,8883,1.208354418,48499,6.597318577,459552,62.51285483,11476,1.723242146,47.55118809,241338,33.98021207
4000,Arizona,0,2015,0,6714.29,15.6,7.056993052,16.6,23.89752264,6.9,20.42782307,85.7711267,16.1,26.62401575,464.6,48.71660281,20.39700005,65.25002,57.31425,109.28642,45.18,76.77948824,62.10575561,7.974600304,26.6,97878,21401,35.8172993,5.665886647,416.2031019,72.83013512,10.12,2.483360185,20.12656689,34.6,66101,320.3,53.71891612,6.5,8.9,239.6,17.84716145,15.71140375,14.09777569,13.73586797,62.89779,48504,36.3082571,7.1,6626624,24.3987587,15.37528008,263683,3.979145339,351551,5.305129731,212866,3.212284264,17305,0.261143533,2005117,30.25849965,3758078,56.71180378,323522,5.362408706,50.27454402,651358,10.19017941
5000,Arkansas,0,2015,0,9067.86,19.4,9.007652786,22.4,32.88981881,6.2,30.52531522,65.80301641,12.6,30.86150491,563.3,55.40331037,19.36956221,64.01886,42.77933,168.27889,71.6,84.19553529,54.7419587,7.54772595,28.3,81917,16996,36.46352049,11.90859274,484.4643329,77.47818525,11.76,8.772710818,14.81471573,25.7,42589,442.8,68.08142736,7.8,11.7,194.6,19.43046952,11.73138671,21.23998436,6.494927419,42.23868,40605,51.32536006,7.8,2959373,23.9870405,15.35527965,454592,15.36109169,28264,0.955067171,42995,1.452841531,8089,0.273334926,204402,6.90693603,2179978,73.66350913,46041,1.68154851,50.88179152,1278329,43.83967588
6000,California,0,2015,0,5295.43,18.4,6.795151463,12.9,22.90017038,7.5,16.82330139,93.41362029,17.2,31.06930419,440.8,34.16042888,20.01655636,77.24999,77.45382,257.43154,45.3,83.49478367,61.65929559,8.94506599,23.5,124665,24516,31.77703691,5.771865043,424.5285772,45.84330584,9.3,2.548659859,28.50459698,37,306204,274.9,41.80673333,5.1,8.1,363,16.24436831,10.64196515,9.179197213,8.362379192,41.55479,60185,0,5.6,38332521,23.93496895,12.50043273,2202770,5.746478297,641741,1.674142434,5404337,14.0985692,190956,0.498156644,14719326,38.39905547,14945939,38.99023234,3790266,10.78881818,50.26626086,1880350,5.047383424
8000,Colorado,0,2015,0,5756.44,12.8,8.843758655,16.9,20.40157415,7.4,15.19410986,92.2866995,17.6,34.42764579,417,35.60055302,16.65434356,79.20839,73.00175,240.07439,38.19,75.23707647,70.03406167,6.777909423,16.8,113210,25002,28.3114741,8.695766159,317.5141854,68.38126127,12.74,2.640664737,17.48201494,32.3,43885,281.1,48.77384352,6.1,6.2,265,14.56805888,14.92808568,10.55305922,9.495120631,74.3684,58942,33.77476544,3.7,5268367,23.49745187,12.28826693,204197,3.875906899,83576,1.586373918,160547,3.04737692,9622,0.182637238,1108428,21.03930877,3653972,69.35682347,162515,3.400231864,49.76724287,696435,13.84783969
9000,Connecticut,0,2015,0,5283.6,10.8,7.982537402,14.9,24.44840042,7.9,21.71481067,94.78195472,19,34.2476489,363.9,20.05724011,10.54573106,84.03088,77.80695,285.50533,56.71,84.94179448,67.02342083,7.771070216,14.5,137171,27383,30.9705403,9.277654778,279.2523073,51.99260453,10.5,0.324682483,18.91567992,31.4,31214,267.4,38.55040582,5.9,8.5,359.7,13.88333774,11.338593,8.233834803,4.146168877,82.28404,67262,29.93090288,3.8,3596080,21.84506463,15.17405063,350249,9.739744388,18485,0.514031946,154993,4.310054281,3733,0.103807479,527161,14.65932349,2501365,69.55810216,136183,4.021746128,51.22046784,429155,12.00736857
10000,Delaware,0,2015,0,7358.62,12.4,8.757599951,18,28.2068387,8,23.66198768,88.11070747,19.9,38.56332703,483.9,33.84801064,10.33494397,69.45868,45.15263,194.65319,53.93,80.17122302,60.90052374,6.71751452,19.1,113572,26178,37.46340165,10.23888552,576.4644079,59.7185491,11.88,13.5741014,16.07553292,31.6,10535,347.5,64.25734091,8.2,9.8,394.1,13.03031757,14.14401724,12.65094845,3.425451871,83.82402,58244,43.12270253,6.3,925749,21.98846556,15.93131616,195540,21.12235606,6154,0.664759022,33545,3.623552388,822,0.088792967,80944,8.743622731,593605,64.12159235,20166,2.365663045,51.61247811,149985,16.70334345
12000,Florida,0,2015,0,6892.95,15.9,8.68920573,18,25.75186438,7,23.24333319,92.80405993,15.9,29.15065806,401.9,36.10398249,24.11484027,70.28835,53.36304,117.1849,59.32,74.54428237,60.13025418,7.237952163,24.8,94160,20330,37.68683559,7.259713024,514.3084291,69.30215808,11.37,6.150402686,22.48576525,37.5,218932,329.4,55.5128894,7,10.5,592.7,17.85017659,15.2920898,14.73743067,11.43234492,64.53787,46021,50.0827163,6.6,19552860,20.59378526,18.65515838,3029859,15.49573311,97016,0.496172938,528864,2.704791013,21116,0.107994432,4619316,23.62475873,11035078,56.43715549,1154460,6.408379042,51.09335923,1661466,8.836969339
13000,Georgia,0,2015,0,7314.25,15.8,9.498236434,18.1,28.65172826,6.5,24.31131313,75.41114447,13.8,23.65889451,528.4,45.32031047,20.7329754,63.62939,47.63731,94.96439,60.58,70.36252191,60.79010039,8.166008892,26.7,99167,19825,37.02890537,8.957710955,384.7312108,58.04917092,12.78,13.05385724,18.07044608,38.5,110837,375,57.40502762,7.8,10.5,428.8,18.89718139,10.23498896,14.74327567,9.343988653,64.45048,47765,51.24705047,6.9,9992167,24.91660718,11.96892526,3050383,30.52774238,50752,0.507917852,366827,3.671145608,11238,0.112468096,916395,9.171133749,5476106,54.80398796,289461,3.169383159,51.14812433,2415502,24.9338204
