FIPS,State,County,Premature_Deaths,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,%_under_18_years_of_age,%_Age_65_and_over,#_Non-Hispanic_Black_or_African_American,%_Non-Hispanic_Black_or_African_American,#_American_Indian_or_Alaskan_Native,%_American_Indian_or_Alaskan_Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
25000,Massachusetts,0,67991,5705.957481,14.39870091,7.534108867,13.66761859,24.7,9.3,21.3,94.46567605,21.34634262,29.96651786,427.3,9.993115784,3.279807861,103.28261,102.95344,629.26778,4933,88.3,73.12244349,3.338605595,12.4,155843,28449,30.70166189,9.425904678,26038,384.1209832,64.05367576,7.7,0,17.74304484,43.3,281.840529,33.55142365,4.069312642,8.9,342.5,9,32.25469818,5.765760298,1.462689034,129.2496,79817,0,2.101046424,6902149,19.80336849,16.50355563,500276,7.24811939,34112,0.494222886,492508,7.135574732,7417,0.107459286,847223,12.27477123,4928183,71.40070433,295529,4.569438758,51.45674195,525640,8.027944161,2020
26000,Michigan,0,131680,7625.529237,17.38465658,8.47041664,19.30484974,32,7.1,23.4,85.49507064,19.60625899,28.99959498,507.9,20.09470132,6.123135365,78.29509,74.39039,268.0495,5203,80.64444881,67.99857956,4.145810728,19.3,108581,23192,34.05057226,9.900313291,43960,443.1858835,75.28111146,8.4,0,15.2655363,33.3,367.5771139,54.61299604,6.665402882,10.8,183.7,13.7,25.53659131,9.673665102,2.936452244,105.91327,56640,50.30325399,6.224643051,9995915,21.65552628,17.17305519,1375622,13.76184171,73499,0.735290366,337336,3.374738581,4142,0.041436927,519022,5.192341071,7485441,74.88500052,141495,1.507653503,50.75845483,2513683,25.43276566,2020
27000,Minnesota,0,51060,5278.513887,12.13242131,6.594981188,14.51363317,27.9,8.8,20.1,86.91455856,21.71279577,30.00525486,422.1,14.21589717,5.085243784,89.44509,71.73181,251.49795,6015,83.2,74.95092151,2.909880664,11.5,128766,29819,27.86479505,13.02046442,12949.5,235.9360944,64.79957117,6.9,0,13.37487297,30.9,265.5662877,43.13883748,5.031899015,8.3,175.6,9.1,12.21589734,7.87693917,3.302113612,114.62832,70295,37.16667967,2.179225825,5611179,23.21463992,15.85766556,367582,6.550887077,76616,1.365417143,288975,5.149987195,4145,0.073870393,309283,5.511907569,4459268,79.47114145,110434,2.133735527,50.19226797,1417614,26.72764038,2020
28000,Mississippi,0,50885,10382.53773,24.14845834,11.58423826,22.18639774,36.8,4,31.9,54.47978413,13.6364223,19.96987952,708.7,36.17002774,14.46177895,52.94729,47.14501,159.11442,6085,83.25456315,59.70892893,4.760952927,28.2,90485,17049,43.72551632,12.66378473,8360.5,279.4842887,85.89722522,9.9,0,15.81900337,31.9,499.9997412,77.06137433,8.849290016,14.6,383,19.2,11.34010078,23.36307776,5.030718462,117.3268,44740,74.5340121,11.06018043,2986530,23.64419577,15.88716671,1118103,37.43819751,18423,0.616869745,32152,1.07656712,1812,0.060672419,100168,3.353992761,1686128,56.45776202,22877,0.816981152,51.52451172,1503073,50.65461934,2020
29000,Missouri,0,85529,8373.71358,18.01923151,8.333541108,20.77499288,32.2,6.8,25.8,76.69829671,19.75779505,27.43462579,534.6,26.01244918,10.90508781,69.92684,58.10867,194.30496,4800,91.30474859,66.69073945,3.196994625,18.3,105161,22977,33.2864643,11.77878843,29250,481.2205134,87.73879606,9.7,0,13.78437505,31.8,400.8283858,58.72007569,6.460118146,11.6,237.4,14.2,23.71681555,14.26207489,5.015030304,97.18512,54412,50.85726087,8.562415757,6126452,22.47352954,16.87704401,710969,11.60490607,35019,0.571603271,131046,2.139019452,9585,0.156452707,263265,4.297185386,4858302,79.30041727,55588,0.972306035,50.90856829,1770556,29.56382671,2020
30000,Montana,0,13077,7232.356284,14.73141046,7.494062596,17.15814697,25.8,7.3,21.6,75.1930181,20.94283236,45.07186858,434.1,24.36826897,10.44142312,80.15284,72.01322,300.76108,3142,86.39,67.77805021,3.721533365,16.4,102171,22744,26.78562648,14.26949061,3576.5,346.2079988,91.44552621,5.95,0,14.81746253,15.9,336.0240059,56.55699433,5.512039455,8.1,67.7,11.1,11.5043872,18.50071735,6.083247123,124.5405,55248,44.81397932,3.44295861,1062305,21.59775206,18.72362457,5612,0.528285191,70603,6.64620801,9852,0.927417267,893,0.084062487,42503,4.001016657,912905,85.93624242,3023,0.308493941,49.65174785,436401,44.1069723,2020
31000,Nebraska,0,19920,6093.033145,14.44429921,6.986180343,15.39411734,32.2,8,23.3,83.54655565,21.72827137,34.00174368,447.6,21.3540913,9.6002101,75.3616,76.76487,265.23013,3590,89,71.89571202,2.794830451,12.9,110464,26212,28.17127829,14.14006529,5412.5,285.7241649,59.00891249,7.5,0,12.78419051,18.4,310.3533085,51.73406686,5.50740982,9.4,133.5,11.6,7.122432884,12.64123907,5.142556107,119.89003,59724,45.88804359,3.160309768,1929268,24.71616178,15.7399594,92902,4.815401489,28663,1.485693019,52343,2.713101549,2338,0.121185859,215872,11.18932155,1515603,78.55844808,47271,2.66623725,50.06489508,490655,26.86546488,2020
32000,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000,New Hampshire,0,15688,6529.882712,13.10896829,6.861921758,15.66527419,27.9,9,21.3,88.23186248,20.73347979,30.47138047,328.6,10.63106251,7.022106632,90.7808,74.53235,306.97596,4032,88.9,70.6325738,2.525631769,10.1,138856,32116,27.65789961,10.35154286,2619.5,196.8358977,86.37864122,7.45,0,15.06880844,38.9,307.8927503,32.74032696,4.155360529,9.3,101.5,9.1,34.70459449,8.697844798,2.461535032,137.78532,75322,26.46179011,1.360377204,1356458,19.03265711,18.10929642,19146,1.411470167,4090,0.301520578,40460,2.982768357,637,0.04696054,52663,3.882390756,1220322,89.96386176,12700,0.992541869,50.43960078,522598,39.69691676,2020
34000,New Jersey,0,91120,5905.86147,17.73167308,8.073808446,13.73893182,26.4,9.3,26,94.71865789,18.05530223,21.9126247,391.3,12.66348615,8.957848689,84.10281,85.8953,223.67352,4535,90.5,69.1647114,4.146017708,13.5,160269,30609,29.30276093,8.506887459,22630,253.0945648,56.40062777,9.9,0,21.66030519,42.5,292.3347049,35.14297329,4.33604637,9.5,468.2,9.6,28.44895345,6.591622513,3.558193335,59.24665,81777,37.90530168,4.176347096,8908520,21.93005123,16.14776641,1150141,12.91057325,54706,0.61408629,889251,9.98202844,9984,0.112072488,1839359,20.64718943,4892895,54.92376961,518820,6.205861347,51.1457122,467768,5.320446311,2020
35000,New Mexico,0,27957,8913.532516,20.58442405,8.957533773,17.48559441,26.6,4.1,19.7,76.86942223,16.17338999,30.48387097,649.4,35.20255774,10.99907515,74.66225,67.24163,391.28044,3094,71.1,59.98223192,4.949051536,25.3,99221,19037,39.47253924,8.3043193,13539,649.8844258,105.4029278,5.9,0,17.8309619,26.1,393.6413557,54.34632708,5.624069044,8.9,189.5,15.5,24.42328717,17.60917879,5.352334307,100.17047,47405,74.14294209,7.59960671,2095428,23.00976221,17.47561835,38590,1.841628536,228493,10.9043594,37256,1.777966124,3404,0.162448913,1029233,49.11803221,777525,37.10578459,86241,4.390917464,50.49770262,464818,22.5729769,2020
36000,New York,0,191428,5456.427901,16.60823716,7.946689925,14.09140114,25.5,9.1,24.7,93.19155715,18.81306943,20.86317012,588.5,15.12988435,6.633740797,82.0579,82.14015,289.23547,4203,81.8,68.19969881,4.11132249,18.8,138256,24105,34.04293141,7.975052544,74841.5,379.0257128,48.8513681,8.5,0,23.8562602,38.1,278.7750854,39.03340411,4.629500617,9.8,759.7,11.4,19.0338022,5.826673202,2.636020927,118.08286,67648,54.90896024,3.279180612,19542209,20.8170018,16.4440673,2833908,14.50147217,190414,0.974372959,1750013,8.955041879,26745,0.136857609,3754130,19.21036665,10830524,55.42118601,1302270,7.056520165,51.44648182,2349997,12.12707519,2020
37000,North Carolina,0,134245,7668.185044,18.45562096,9.060290823,17.19453047,31.4,6.7,24.3,73.50540083,16.86620227,29.45992531,612,24.33199753,12.64455498,70.81382,56.22317,244.27897,4758,86.3,67.1055773,3.904517302,20.2,105347,22147,35.15094484,11.49763287,35268,351.0869081,74.58467752,9.8,0,15.58516954,32.8,371.9564098,57.10227029,7.107848388,11.2,355.7,14.6,21.52005334,14.04304311,4.886634514,124.87938,53922,55.88158049,6.090290928,10383620,22.156483,16.26855567,2219512,21.37512736,163078,1.570531279,329284,3.171186927,12989,0.12509125,997349,9.605022141,6525505,62.84422003,234263,2.452391438,51.35741678,3233727,33.91256636,2020
38000,North Dakota,0,7642,6565.423556,15.12232985,6.409228869,18.26962381,32.7,9,23.9,73.97868839,24.12910425,43.16666667,433.9,21.39189256,8.576119427,76.64884,65.12498,187.61257,4551,85.12953064,73.44676967,2.608446162,11,118973,26920,27.39678097,16.15053356,1931.5,257.974642,70.08271724,5.4,0,11.20377501,13.5,316.1827434,55.0583434,5.97861135,9,60.3,7.3,9.457109151,15.00139037,7.528335125,141.69617,65250,30.01604551,2.272354383,760077,23.51051275,15.34541895,24620,3.239145508,41962,5.52075645,13426,1.766399983,573,0.075387099,29529,3.885001125,638189,83.96372999,4427,0.632988314,48.77492675,269719,40.10148813,2020
