State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Uninsured_Rank,Uninsured_Value,Year
Washington,Y,1709289.0,7.0,0.425,16.0,184.7,6.0,222.4,26.0,85.6,31.0,76.0,14.0,9.9,43.0,31.1,16.0,15.2,8.0,29.5,14.0,31.8,29.0,69.9,4.0,4.1,13.0,28.7,5.0,6094.0,23.0,150.0,40.0,8.4,41.0,4.4,16.0,6.3,2019
Arkansas,Y,852157.0,48.0,-0.478,46.0,217.7,47.0,338.3,41.0,82.8,16.0,81.3,46.0,13.9,10.0,21.6,14.0,14.2,48.0,41.3,43.0,36.8,34.0,69.4,48.0,8.1,48.0,37.1,46.0,10210.0,43.0,122.3,28.0,7.7,24.0,3.8,25.0,8.1,2019
New Hampshire,Y,176734.0,5.0,0.542,28.0,192.3,8.0,226.0,11.0,88.8,2.0,86.2,18.0,10.3,42.0,30.9,48.0,35.2,11.0,30.0,23.0,32.8,3.0,78.9,2.0,3.9,18.0,29.6,17.0,6770.0,18.0,162.9,4.0,5.6,2.0,2.6,14.0,5.8,2019
Vermont,Y,149642.0,1.0,0.687,33.0,197.0,19.0,238.7,22.0,86.1,4.0,85.7,8.0,9.2,3.0,17.4,27.0,19.9,13.0,30.4,6.0,30.4,15.0,74.0,3.0,4.0,8.0,27.5,14.0,6646.0,11.0,188.7,5.0,5.7,4.0,2.7,3.0,4.3,2019
Maine,Y,255593.0,14.0,0.32,40.0,209.3,13.0,233.6,28.0,85.4,5.0,85.2,21.0,10.6,34.0,28.3,41.0,27.0,39.0,34.8,46.0,37.4,17.0,72.7,21.0,5.8,23.0,30.4,25.0,7575.0,7.0,199.1,30.0,7.8,18.0,3.5,25.0,8.1,2019
Georgia,N,1801767.0,43.0,-0.315,30.0,194.8,38.0,285.3,7.0,89.4,44.0,71.8,40.0,12.6,30.0,26.8,13.0,13.6,33.0,33.1,10.0,31.1,50.0,65.6,43.0,7.4,30.0,32.5,34.0,8243.0,41.0,123.9,33.0,8.0,28.0,3.9,48.0,13.6,2019
Mississippi,N,607772.0,50.0,-0.6559999999999999,49.0,226.8,50.0,363.2,34.0,84.7,37.0,74.0,48.0,14.3,5.0,18.8,7.0,12.1,47.0,40.8,48.0,37.7,38.0,68.7,50.0,8.6,49.0,39.5,49.0,11043.0,47.0,110.8,42.0,8.7,47.0,4.8,45.0,12.1,2019
Wyoming,N,53843.0,23.0,0.113,6.0,169.5,15.0,234.7,47.0,80.4,49.0,67.8,4.0,8.7,7.0,19.6,17.0,15.3,19.0,30.8,7.0,30.8,18.0,72.0,10.0,4.8,14.0,29.0,23.0,7412.0,46.0,111.0,31.0,7.9,35.0,4.2,44.0,11.4,2019
Virginia,Y,1372173.0,15.0,0.293,24.0,190.1,23.0,242.6,16.0,87.0,24.0,77.8,20.0,10.5,24.0,26.2,18.0,15.4,26.0,32.4,37.0,34.7,6.0,77.1,24.0,5.9,22.0,30.3,19.0,6914.0,24.0,148.1,14.0,6.4,8.0,2.9,31.0,8.8,2019
Wisconsin,N,1035364.0,22.0,0.129,25.0,190.4,23.0,242.6,31.0,85.0,11.0,82.6,4.0,8.7,17.0,23.7,25.0,18.3,19.0,30.8,34.0,34.5,36.0,69.2,33.0,6.4,28.0,32.0,18.0,6800.0,21.0,152.4,8.0,6.0,10.0,3.0,9.0,5.5,2019
