FIPS,State,County/Borough/Parish,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature age-adjusted mortality_Age-Adjusted Mortality,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,Demographics_% < 18,%_Age_65_and_over,Demographics_# African American,Demographics_% African American,Demographics_# American Indian/Alaskan Native,Demographics_% American Indian/Alaskan Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
48419,Texas,Shelby,10739.51888,21.64837831,8.868144691,19.12844728,30.8,6.4,27.2,39.52373468,16.14622721,18.18181818,322.8,50.89666951,25.2376918,19.54728,39.1957,50.95442,5434,92.9,41.64097294,5.120118727,33,75049,16449,35.63641721,12.51026233,71,289.3707206,95.46091189,9.8,Yes,9.686003193,35.2,515,92.56516588,7.490636704,11.7,189.4,21.3,0,35.07951356,15.30218603,66.6327,39745,74.64356614,9.5,25513,26.50413515,17.19515541,4509,17.673343,255,0.999490456,334,1.309136519,19,0.074471838,4728,18.53172892,15598,61.13745933,1088,4.558786558,50.19401874,20214,79.43256838,2019
48421,Texas,Sherman,7801.593242,17.61581208,7.52688172,13.91901091,30.2,8.4,25.2,37.60711931,19.15577397,0,0,28.42377261,27.59017652,0,0,0,3728,95.8,43.82716049,3.10318076,16.4,116500,26833,18.32386364,29.33507171,4.5,145.0676983,84.50338014,6.5,No,7.106598985,28.1,381.3,0,0,9.8,0,10.1,0,0,20.84726867,32.60515,49349,60.28645833,0,3067,28.20345615,15.1613955,35,1.141180307,36,1.173785458,25,0.81512879,0,0,1355,44.17998044,1634,53.27681774,291,10.09015257,48.28822954,3034,100,2019
48423,Texas,Smith,7435.485113,17.91665306,7.777777778,16.4745783,31.8,6.7,28.3,71.50071049,17.67330994,19.06779661,528.4,37.19156488,18.3731261,98.53966,59.72063,100.11988,4712,91,60.88186119,4.057754778,20,102316,22053,30.72024594,13.53810644,737,335.0091366,63.10340948,10.3,Yes,17.49174918,28.9,370,65.88566581,8.138399293,11.3,216.9,19.2,7.988721109,17.60795594,8.849741651,122.07599,54044,57.90017596,3.9,227727,24.64881196,16.20932081,39371,17.28868338,1909,0.838284437,3870,1.699403233,275,0.120758628,44741,19.64677004,135704,59.59065021,9617,4.645736618,51.71674856,66286,31.60780873,2019
48425,Texas,Somervell,8158.417267,17.04443342,8.094435076,15.71031745,28.3,7.7,23.7,70.90694935,18.24235995,30.43478261,217.4,23.08402585,18.67588933,91.16809,22.61164,11.30582,7814,88,50.43062201,4.504504505,16.6,106758,19685,33.1300813,10.25641026,9.5,108.441299,89.22239253,9.1,No,14.91875923,33.8,348.6,0,0,10.7,0,16.6,0,23.04147465,13.35877863,90.44658,62803,43.7845999,0,8845,22.63425664,18.65460712,98,1.107970605,128,1.44714528,96,1.08535896,4,0.04522329,1651,18.66591295,6828,77.19615602,74,0.902659185,50.89881289,8490,100,2019
48427,Texas,Starr,6280.333912,40.73235516,8.649766076,20.11324796,32,5.5,26.2,31.27706338,13.81852446,39.28571429,423.2,73.81001231,28.19905213,18.71433,13.96345,17.06643,6947,91.3,34.04913788,11.67031364,40.2,64222,12331,43.43678816,2.651196157,166.5,262.6990952,34.66870897,8.6,Yes,22.23598637,21.7,341.9,36.69029838,4.29000429,9,66.5,12.5,0,12.25548603,9.178075877,49.64781,28377,82.97328027,4.1,64454,33.13991374,11.29642846,73,0.113259069,246,0.381667546,157,0.243584572,13,0.020169423,62084,96.32295901,2131,3.306233903,17214,30.21484238,51.32652745,14453,23.70587849,2019
48429,Texas,Stephens,10361.36502,19.33394395,8.910891089,16.99616041,29.5,6.5,26,59.2211838,18.80079969,12.5,339,50.53763441,22.75071633,20.18978,53.55039,21.42016,5960,90.8,45.16129032,4.689826303,30.1,90330,18207,30.99471408,11.10438118,17.5,188.0810361,90.84187177,8,No,11.4658926,16.9,483.4,0,0,9.9,154.6,17.1,0,27.13008878,12.76005548,64.26047,41977,64.30006698,0,9337,21.70932848,19.28885081,233,2.495448217,117,1.253079148,57,0.610474457,4,0.042840313,2238,23.96915498,6669,71.42551141,279,3.142599685,47.16718432,3791,39.36656283,2019
48431,Texas,Sterling,0,22.17158236,0,17.20281127,27.1,4.3,23.4,55.38057743,16.94438591,0,0,0,19.04761905,0,0,0,4813,95.2,57.58754864,3.789126853,17.7,84611,23273,50.15197568,21.94586686,1.5,113.4215501,0,7.2,No,10,21.7,0,0,0,10.3,0,11.8,0,0,15.63275434,154.44015,55690,41.92439863,0,1295,27.56756757,15.83011583,24,1.853281853,27,2.084942085,7,0.540540541,1,0.077220077,518,40,716,55.28957529,2,0.194931774,49.18918919,1143,100,2019
48433,Texas,Stonewall,0,17.82627787,0,15.22883037,27.9,7.3,24.6,53.08724832,15.80239665,60,0,35.36977492,18.39622642,70.12623,0,144.09222,4240,95.7,51.47928994,3.381642512,20.3,100462,15310,24.41860465,21.03786816,1,70.99751509,0,7.4,No,13.79310345,25,331.6,0,0,12.2,0,16.4,0,0,14.03508772,360.23055,43702,54.21686747,0,1388,22.11815562,26.08069164,45,3.242074928,23,1.657060519,22,1.585014409,0,0,256,18.44380404,1041,75,2,0.193610842,51.58501441,1490,100,2019
48435,Texas,Sutton,0,18.2211239,8.970976253,12.32855156,29.6,8.7,22.2,82.94573643,18.74463064,10.52631579,153.3,53.87205387,20.68748029,77.53942,26.54632,0,5413,95,53.83817427,5.085865258,23.6,113692,26030,37.10819009,20.67717757,5.5,139.328689,51.21114355,7.3,No,9.797297297,20.4,252.1,0,0,10.3,0,9.6,0,0,12.75100402,106.18529,57986,58.51318945,0,3767,24.39607114,17.70639766,21,0.55747279,41,1.088399257,22,0.584019113,2,0.053092647,2360,62.64932307,1363,36.18263871,219,5.901374293,49.32306876,776,18.79844961,2019
48437,Texas,Swisher,8311.411219,22.85980643,7.539118065,16.68975868,27.9,7.3,28.8,53.74331551,16.93628245,42.85714286,0,75.07331378,22.94782926,13.39405,13.30672,0,6388,87.7,40.63116371,4.056568664,29.6,75618,15750,36.58031088,17.41226895,39.5,518.7471272,95.09218659,7.3,No,12.71676301,23.5,382.6,0,0,10.3,81.4,15.2,0,29.87861811,11.84687015,39.92016,41264,71.92660551,0,7515,25.53559548,17.8576181,558,7.425149701,123,1.636726547,47,0.625415835,6,0.079840319,3313,44.08516301,3491,46.45375915,279,3.972095672,46.81304059,2951,37.5732111,2019
