FIPS,State,County/Borough/Parish,Year,Health_Outcomes_Rank,Yrs_Potential_Life_Lost_per_100K,Percent_Fair_Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,Healthy_Food_Access_Index,Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate_per_100K_Medicare,Graduation_Rate,Percent_Adults_with_Some_Post-secondary_Ed,Percent_Unemployed_&_Looking_for_Work,Percent_Children_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,County_Affected_by_Water_Violation,Percent_Households_with_One_or_More_Severe_Problems,Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature_Age_Adjusted_Mortality_per_100K,Child_Mortality_per_100K,Infant_Mortality_per_1K_live_births,Percent_Adults_Diagnosed_Diabetes,HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children_w/o_Health_Insurance,Other_Primary_Care_Providers_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Percent_Non-Hispanic_Black_or_African_American,Percent_American_Indian_or_Alaskan_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Hispanic,Percent_Non-Hispanic_White,Percent_Not_Proficient_in_English,Percent_Female,Percent_Rural
48019.0,Texas,Bandera,2020,85,7555.7172342,16.935833605,9.21386306,13.663315439,29.9,6.8,27.8,58.481815963,16.989327698,31.25,219.2,17.664118112,18.650132642,26.84444,21.90676,61.33894,2489.0,91.5,60.433807031,3.4072580645,22.8,104633.0,24256.0,36.262241567,9.3955527717,137.71815268,75.152137253,8.9,,11.992731678,56.2,351.0,337.90456605,67.186240258,0.0,8.6,120.0,14.5,14.936296695,21.963394343,13.963145601,43.81353,53008.0,51.017274472,0.0,22824.0,16.70171749,26.975990186,0.9069400631,1.3012618297,0.5871012969,0.0438135296,19.409393621,77.20382054,1.3397770228,50.372415002,100.0
48021.0,Texas,Bastrop,2020,71,7880.3177804,20.343852258,7.5768107883,15.633213058,38.4,7.3,23.9,47.513179005,19.331467398,28.461538462,897.8,34.337997847,21.75716118,27.135119999999997,33.34253,57.48712,4397.0,93.5,49.107414545,3.3621749295,19.2,116107.0,27801.0,29.676190476,7.4326636071,406.70173732,84.248037844,10.1,,15.43377227,55.5,1145.0,379.02258815,44.37230701,5.1450621695,11.7,221.4,12.5,7.4664989979,28.563622364,12.629025143,34.492270000000005,61883.0,69.318550217,5.6772417121,86976.0,25.428853937,15.189247609,6.6731052244,1.9718083149,0.9301416483,0.1437178072,38.726775202,51.98330574,5.3682572614,49.071008094,63.85244907
48023.0,Texas,Baylor,2020,225,11359.325779,17.134811954,8.6956521739,14.241596398,26.6,7.3,25.2,85.856146001,17.165564257,27.272727273,335.1,42.212518195,18.916913947,139.6258,27.917360000000002,0.0,7478.0,97.9,59.904153355,3.2567049808,28.6,88111.0,20310.0,16.559691913,13.962580285,236.01277246,110.68068622,7.8,,7.917888563,7.3,86.0,615.46173404,0.0,0.0,11.7,0.0,16.2,0.0,47.417710515,12.758201701,55.83473000000001,41180.0,56.994818653,0.0,3582.0,23.003908431,23.813512004,2.5404801787,0.837520938,0.4745951982,0.0837520938,13.65159129,81.295365717,0.0,51.312116136,100.0
48025.0,Texas,Bee,2020,163,8266.9657796,23.853585888,10.115384615,15.765248622,30.7,7.1,21.7,50.88980258,19.809911966,25.925925926,909.0,53.193134375,18.911941868,21.49679,30.687079999999998,42.96192,7025.0,89.0,36.288935601,5.0816878821,32.0,84750.0,15778.0,32.346538964,4.2993581672,252.08688695,64.166417131,9.4,,17.24137931,29.9,433.0,442.72853642,53.577168982,7.6716532413,13.3,620.7,13.9,0.0,19.217078742,9.3059270731,55.236749999999994,41806.0,70.382165605,6.5512768439,32587.0,21.060545616,12.311658023,8.3284745451,0.9206125142,0.6413600516,0.1012673766,59.253690122,30.917236935,2.5449345078,39.181268604,42.97730768
48027.0,Texas,Bell,2020,90,7306.7287534,20.289556752,8.7590060964,15.179414783,34.8,6.1,22.9,77.680145696,20.343420575,26.108374384,1204.6,39.8885257,13.260658306,81.64837999999999,80.13677,215.94750000000002,6936.0,75.0,68.957988623,4.1189287974,19.1,99553.0,25144.0,33.517047318,7.5610997231,411.0096789,62.998875271,10.1,,14.917053749,23.1,3599.0,371.1579268,69.061313416,6.8502693665,11.1,248.3,18.7,10.058569614,15.098519963,6.3900356728,168.4278,54292.0,55.844724212,6.9554979606,355642.0,27.701171403,10.849393491,22.157394234,1.0684902233,3.2577704546,0.8829103424,25.284415227,44.84931476,2.2837711174,50.3123928,15.186229794
48029.0,Texas,Bexar,2020,94,6963.3711995,22.492039858,8.9450781336,14.899297572,28.6,7.6,23.4,86.264129421,20.053430905,28.283898305,663.0,33.363559411,16.904979007,74.0333,85.49638,177.48807,4099.0,87.3,62.725609183,3.3286215326,23.7,110196.0,23237.0,36.768064291,5.7490689674,533.05881535,58.970018051,10.4,,17.90653276,34.7,20421.0,349.83986496,54.079867898,6.3072376596,8.5,376.2,11.4,11.271333169,11.035325134,7.9588622078,97.63103,54210.0,61.712693731,7.1276106858,1986049.0,25.561756029,12.115562103,7.3619029541,1.2202619371,3.2822453021,0.2263791075,60.490249737,27.356172985,6.0176484115,50.629818298,4.5390847652
48031.0,Texas,Blanco,2020,19,6887.0400959,16.317222287,6.3694267516,13.394388603,29.4,8.2,27.5,49.880918358,17.434835553,37.931034483,1126.8,18.298714144,21.46253113,43.00705,34.18219,8.545549999999999,3385.0,96.5,58.018867925,2.624,17.2,124915.0,28888.0,33.249623305,10.321692758,136.81762211,84.901655582,8.9,,14.251497006,40.4,171.0,319.09157922,0.0,0.0,12.4,131.4,13.1,0.0,16.685063018,18.158347676,25.636639999999996,64832.0,39.408284024,0.0,11702.0,18.244744488,24.277901213,1.0852845667,1.2903777132,1.1023756623,0.0940010255,19.80857973,76.39719706,2.1260861527,49.820543497,100.0
48035.0,Texas,Bosque,2020,138,9705.3640013,17.592109629,7.037896365,14.269071565,31.8,7.5,27.2,31.380408522,17.003577722,13.636363636,261.9,28.487752929,22.263410379,54.567280000000004,37.45118,21.40067,5635.0,96.8,49.803260259,3.698296837,24.0,97981.0,23804.0,31.500513875,13.641820365,82.208239795,83.714269979,9.5,,12.816901408,45.2,345.0,454.97169146,101.38774476,0.0,10.5,104.7,15.5,0.0,27.610144756,13.90583069,42.80135,48460.0,62.348942598,0.0,18691.0,21.577229683,24.648226419,1.6639024129,0.8667273019,0.5724680327,0.0749023594,19.046599968,77.154780376,2.5478078358,50.521641432,81.215681968
48037.0,Texas,Bowie,2020,207,9530.0864197,18.895084234,9.8661613171,17.14611872,47.3,5.9,39.3,40.863177227,18.431256626,23.529411765,511.6,50.700599099,16.356519948,67.01272,56.1893,98.59633,5585.0,95.5,53.52640817,4.9449297379,25.5,96092.0,18208.0,42.969278657,13.189805557,514.29637328,61.638868745,10.0,,15.825517344,14.5,1553.0,477.98315464,79.67590982,8.4053510122,14.8,378.7,21.5,9.2134544784,15.560759426,8.1426267382,148.42458,47339.0,60.490387295,7.780379713,94324.0,23.739451253,16.544039693,24.9522921,1.0569950384,1.3803485857,0.0922352742,7.8050125101,63.149357534,1.1560627805,49.670285399,35.424836601
48039.0,Texas,Brazoria,2020,26,6206.4306476,18.376297341,8.3679990354,13.406956708,28.2,7.5,28.0,80.513529566,18.238274997,33.333333333,400.3,28.121499134,14.167458619,64.55938,53.754729999999995,67.26094,5472.0,93.8,68.517825487,4.5252828302,13.1,143915.0,32488.0,23.181178877,6.4835277012,182.64601518,51.713781158,11.4,,13.684486832,48.7,3728.0,328.80797732,45.822554123,4.5152091255,10.5,260.4,14.0,10.21298208,13.312456544,9.1593980827,60.23771,74225.0,44.17376277,4.121503574,370200.0,26.457320367,11.798487304,13.950567261,0.828741221,6.9937871421,0.0991356024,31.119665046,46.159103187,4.1281391913,49.486493787,22.52862699
