FIPS,State,County,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,Avg_Days_Poor_Physical_Health_per_Month,Avg_Days_Mentally_Unhealthy_per_Month,Low_BirthWt_Unreliable,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,#_Alcohol-Impaired_Motor_Vehicle_Deaths,#_Motor_Vehicle_Deaths_x,%_Driving_Deaths_with_Alcohol_Involvement,#_Chlamydia_Cases,Chlamydia_Cases_per_100K,Teen_Birth_Rate,#_Ppl_Under65_w/o_Insurance,%_Ppl_Under65_w/o_Insurance,#_Primary_Care_Physicians(PCP)_in_Pt_Care,PCP_per_100K,Population_to_PCP_ratio,#_Dentists,Dentists_per_100K,Population_to_Dentists_ratio,#_Mental_Health_Providers(MHP),MHP_per_100K,Population_to_MHP_ratio,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),%_Female_Medicare_Enrollees(65-74)_with_Annual_Mammogram,#_Students_Expected_to_Graduate,Graduation_Rate,#_Adults(25-44)_with_Some_Post-secondary_Ed,Adults(25-44),%_Adults(25-44)_with_Some_Post-secondary_Ed,#_Ppl(16+)_Unemployed_&_Looking_for_Work,Size_of_Labor_Force,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Ratio_of_Household_Income_80th_to_20th,#_Children_Living_in_Single_Parent_Household,#_Children_in_Households,%_Children_Living_in_Single_Parent_Household,#_Associations,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,#_Injury_Deaths,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Households_with_High_Housing_Costs,%_Households_with_Overcrowding,%_Households_Lacking_Kitchen_or_Plumbing_Facilities,%_Workers_Who_Drive_Alone_to_Work,"#_Workers_who_Commute(car,truck,van)_Alone",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_#_Deaths,Premature age-adjusted mortality_Age-Adjusted Mortality,Child(under18)_Mortality_#_Deaths,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_#_Deaths,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_HIV_Cases,#_Ppl(Age13+)_diagnosed_HIV_per_100K,#_Ppl_Food_Insecure,%_Pop_w/o_Adequate_Access_to_Food,#_Ppl_Low_Income_or_Do_Not_Live_Near_Grocery_Store,%_Pop_with_Limited_Access_to_Food,#_Drug_Overdose_Deaths,Drug_Overdose_Deaths_per_100K,#_Motor_Vehicle_Deaths_y,Motor_Vehicle_Deaths_per_100K,#_Adults(under65)_w/o_Health_Insurance,%_Adults(under65)_w/o_Health_Insurance,#_Children(under19)_w/o_Health_Insurance,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Pop_to_Other_Primary_Care_Providers(non_physician),Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,Demographics_% < 18,%_Age_65_and_over,Demographics_# African American,Demographics_% African American,Demographics_# American Indian/Alaskan Native,Demographics_% American Indian/Alaskan Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
48259,Texas,Kendall,5600.2174885,13.182682722,3.0689267287,3.1868015511,0,7.1025020178,12.209812726,26.3,8.4,20.5,80.86201736,19.857073772,12,31,38.709677419,43.0,106.5,12.823207904,4763,14.004292729,33.0,77.57405,1289:1,38.0,86.31263,1159:1,63.0,143.09726,699:1,2159.0,44.0,741.0,97.9,6065,8560,70.852803738,635,20705,3.0668920551,10.9,154996,34279,4.5216021471,1753,9405,18.639021797,37,8.6976962858,44.0,108.75879031,119.0,58.449085444,9.2,Yes,14.833948339,12.041496851,2.3985239852,1.2915129151,79.094957937,14385,46.9,385.0,243.4,23.0,59.362498387,0.0,0.0,9.3,37.0,108.3,4610,11.8,643.78958558,1.9269368021,0.0,0.0,47.0,17.132463101,3847,15.955373066,1016,9.7215577457,86.31263,1159:1,89637,23.828896896,3.6,44026,23.420251669,18.748012538,465,1.0561940671,320,0.726843229,567,1.2878753464,41,0.0931267887,10631,24.147094898,31686,71.971107982,726,1.8995787436,51.028937446,19431,58.159233762,2019
48261,Texas,Kenedy,0.0,26.744554328,4.2777782233,3.7533744235,0,0.0,15.42766013,27.7,3.3,22.9,0.0,14.956349516,0,8,0.0,0.0,0.0,0.0,69,20.116618076,0.0,0.0,404:0,0.0,0.0,417:0,0.0,0.0,417:0,33333.0,0.0,0.0,0.0,23,131,17.557251908,8,246,3.2520325203,18.8,64750,16227,3.9902631417,26,164,15.853658537,0,0.0,4.0,977.99511002,0.0,0.0,8.4,Yes,13.793103448,2.7586206897,5.5172413793,2.7586206897,97.206703911,174,6.3,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,70,12.5,236.55421126,56.863993092,0.0,0.0,0.0,0.0,56,24.561403509,13,11.111111111,0.0,417:0,38031,68.0,0.0,417,27.338129496,18.225419664,9,2.1582733813,7,1.6786570743,3,0.7194244604,0,0.0,310,74.340527578,87,20.863309353,185,35.305343511,48.920863309,416,100.0,2019
48263,Texas,Kent,0.0,14.754954495,3.3295478788,3.4486592105,0,0.0,12.974708987,27.7,4.8,24.9,42.945544554,17.063189455,1,2,50.0,0.0,0.0,0.0,107,20.188679245,0.0,0.0,769:0,0.0,0.0,763:0,0.0,0.0,763:0,2048.0,23.0,0.0,90.0,110,135,81.481481481,12,460,2.6086956522,18.1,100000,20536,4.8694974679,38,143,26.573426573,2,26.007802341,2.5,319.28480204,0.0,0.0,7.1,Yes,10.810810811,7.8378378378,1.0810810811,2.1621621622,72.333333333,217,4.2,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,100,14.5,292.05966445,36.145998076,0.0,0.0,0.0,0.0,85,21.963824289,23,15.032679739,0.0,763:0,45330,32.03125,0.0,763,20.969855832,26.21231979,10,1.3106159895,12,1.5727391874,0,0.0,1,0.131061599,152,19.921363041,577,75.622542595,6,0.9708737864,50.720838794,808,100.0,2019
48265,Texas,Kerr,7951.0060131,17.72254892,3.795610782,3.6302717176,0,7.9330222344,14.273171923,28.7,6.8,24.3,71.528463476,15.768377052,10,53,18.867924528,57.0,111.9,36.372501219,7275,20.180864934,44.0,85.43026,1171:1,33.0,63.8051,1567:1,143.0,276.48879,362:1,2600.0,45.0,500.0,94.0,5284,9730,54.30626927,726,21290,3.4100516674,23.5,93452,22834,4.0926688272,3661,9694,37.765628224,73,14.173656415,120.5,237.52266814,205.0,80.488743355,8.5,Yes,18.163918287,13.088088088,3.7164656658,2.3381737632,78.844868735,16518,20.7,814.0,377.7,25.0,63.083522584,0.0,0.0,13.8,52.0,118.3,7630,15.1,6364.3156987,12.824817529,24.0,15.566322262,58.0,16.3720174,6303,23.95940244,1087,10.591444997,75.40603,1326:1,49748,59.027678187,5.1,51720,19.332946636,27.424593968,742,1.4346481052,607,1.1736272235,539,1.0421500387,54,0.1044083527,13882,26.840680588,35760,69.141531323,1185,2.459833105,51.836813612,20397,41.102267003,2019
48267,Texas,Kimble,0.0,17.529282758,3.6576986247,3.621860676,x,7.8767123288,14.363722506,31.1,7.2,26.6,60.646841763,15.955996302,2,32,6.25,18.0,410.2,47.04595186,703,22.317460317,3.0,67.82727,1474:1,2.0,45.35147,2205:1,1.0,22.67574,4410:1,2714.0,28.0,0.0,98.1,388,770,50.38961039,67,1897,3.5318924618,36.8,77276,17691,4.3680967724,399,829,48.130277443,9,20.348179968,4.5,101.99456029,17.0,76.784101174,7.5,Yes,12.311557789,10.603754439,0.4020100503,1.256281407,72.6062468,1418,26.5,64.0,367.4,0.0,0.0,0.0,0.0,12.2,0.0,0.0,700,15.8,354.13850175,7.6869655253,0.0,0.0,0.0,0.0,602,25.726495726,113,13.1242741,90.70295,1103:1,41081,69.036334913,0.0,4410,18.20861678,29.092970522,20,0.4535147392,57,1.2925170068,36,0.8163265306,4,0.0907029478,1084,24.580498866,3221,73.038548753,91,2.1785970792,50.816326531,2041,44.302148904,2019
48269,Texas,King,0.0,15.250317682,3.4022706446,3.446073088,0,0.0,14.518642296,28.7,5.5,22.9,56.293706294,19.044650701,0,1,0.0,0.0,0.0,0.0,49,20.331950207,0.0,0.0,289:0,0.0,0.0,296:0,0.0,0.0,296:0,0.0,0.0,0.0,100.0,49,107,45.794392523,6,163,3.6809815951,24.4,111750,34500,3.2391304348,6,73,8.2191780822,0,0.0,0.0,0.0,0.0,0.0,7.2,Yes,12.173913043,3.6036036036,3.4782608696,3.4782608696,89.595375723,155,10.3,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,40,15.5,75.937930456,26.551723936,0.0,0.0,0.0,0.0,38,24.050632911,12,13.793103448,0.0,296:0,56346,0.0,0.0,296,27.702702703,17.22972973,0,0.0,4,1.3513513514,0,0.0,0,0.0,54,18.243243243,234,79.054054054,5,1.8656716418,51.013513514,286,100.0,2019
48271,Texas,Kinney,0.0,26.901822081,4.3860535307,3.8199216554,x,7.3469387755,16.119025608,28.5,8.7,22.7,69.983324069,15.162914687,3,6,50.0,5.0,140.9,50.938337802,489,20.624209194,0.0,0.0,0,0.0,0.0,3745:0,0.0,0.0,0,2935.0,35.0,0.0,93.0,434,936,46.367521368,63,1150,5.4782608696,26.7,89559,16424,5.4529347297,75,703,10.6685633,2,5.5710306407,0.5,26.198585276,11.0,61.124694377,7.6,No,8.3333333333,5.9259259259,2.6851851852,0.3703703704,81.419166057,1113,12.5,40.0,305.4,0.0,0.0,0.0,0.0,11.0,8.0,259.6,350,9.9,81.698596557,2.2706669415,0.0,0.0,0.0,0.0,420,24.475524476,78,11.142857143,26.70227,3745:1,42650,56.451612903,0.0,3745,19.465954606,24.032042724,40,1.0680907877,56,1.4953271028,15,0.4005340454,8,0.2136181575,2230,59.546061415,1391,37.142857143,348,9.8779449333,44.405874499,736,20.455808783,2019
48273,Texas,Kleberg,8917.2541161,27.560404762,4.3504282641,3.7398702348,0,7.7429467085,15.771092382,28.1,7.0,22.5,49.951654658,17.609024723,3,31,9.6774193548,244.0,765.9,37.337337337,5426,20.965996909,13.0,41.0224,2438:1,15.0,48.25013,2073:1,12.0,38.600100000000005,2591:1,9249.0,33.0,346.0,88.3,4798,7562,63.448823063,795,13367,5.9474826064,34.1,91621,13738,6.6691658174,2928,7623,38.410074774,30,9.4667087409,160.0,499.53168904,71.0,44.674880133,9.1,Yes,19.39477304,14.129919393,5.7771664374,0.7336084365,76.120052197,10500,18.5,408.0,478.2,15.0,48.559404338,0.0,0.0,9.0,27.0,104.0,3900,12.2,5334.2726929,16.637886195,0.0,0.0,27.0,12.099647318,4771,26.048263813,745,9.311336083,41.81678,2391:1,41257,64.64811784,4.9,31088,24.459598559,12.924601132,1092,3.512609367,278,0.894235718,719,2.3127895008,55,0.1769171384,22660,72.88986104,6321,20.33260422,840,2.8611328724,48.941713845,6050,18.870278532,2019
48275,Texas,Knox,10843.851554,19.528243015,3.8327348255,3.676570474,0,7.7151335312,15.229412783,29.1,6.3,24.1,39.338531863,17.029106176,3,5,60.0,11.0,285.0,23.724792408,675,22.522522523,1.0,26.2743,3806:1,0.0,0.0,3710:0,0.0,0.0,0,5047.0,34.0,0.0,98.1,426,768,55.46875,59,1493,3.9517749498,32.9,84458,20786,4.0632156259,244,1028,23.73540856,10,26.274303731,8.5,221.38299258,16.0,84.206094416,7.8,Yes,10.452961672,4.4807965861,4.7386759582,1.7421602787,77.309782609,1138,14.4,72.0,563.9,0.0,0.0,0.0,0.0,11.5,0.0,0.0,530,14.0,783.11283727,21.057080862,0.0,0.0,0.0,0.0,534,26.834170854,152,14.503816794,161.72507,618:1,37749,61.865569273,0.0,3710,26.738544474,19.973045822,186,5.0134770889,47,1.2668463612,11,0.2964959569,1,0.0269541779,1284,34.60916442,2156,58.113207547,196,5.6647398844,50.296495957,3719,100.0,2019
48277,Texas,Lamar,10052.762182,21.132095078,4.0744310126,4.1015794903,0,9.4218415418,18.338065881,34.4,5.7,33.3,63.621392565,16.079245877,9,45,20.0,303.0,612.9,51.208337077,7814,19.568756104,25.0,50.209880000000005,1992:1,31.0,62.516389999999994,1600:1,45.0,90.74959,1102:1,5570.0,38.0,574.0,93.8,6086,11503,52.90793706,995,23680,4.2018581081,24.0,88390,17569,5.0310205476,4774,11689,40.841817093,82,16.46883975,191.0,386.24483069,195.0,78.702974972,9.9,No,15.243101183,11.844197138,2.6806833114,1.3929040736,81.424668041,16986,19.5,914.0,499.1,29.0,61.466723188,32.0,6.9640914037,12.6,58.0,141.0,10730,21.6,6140.590384,12.332236226,17.0,11.423349326,75.0,21.573297435,6605,23.387153884,1334,10.861423221,82.68296000000001,1209:1,47212,62.265251371,6.0,49587,23.873192571,19.021114405,6412,12.930808478,871,1.7565087624,405,0.8167463246,24,0.0483997822,3899,7.8629479501,36904,74.422731764,533,1.1551298167,51.844233368,23444,47.082923302,2019
