FIPS,State,County,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
48001,Texas,Anderson,2016,10847.5,19.8,8.059631959,17.7,33.4,5.3,26.5,30.64764446,17.9,30.50847458,398.6939337,66.50712933,23.88965294,39.69761,32.97066,36.44125,65.43,93.79444444,39.85272298,4.788990826,25.4,87761,17916,36.07623119,11.39148745,302.2664343,77.92546618,9.18,Yes,14.55832564,24.9,1048,544.3,64.00635649,5.720823799,11.8,476.6386959,21.6,10.93493712,26.5266974,15.03551013,29.50006,42471,52.74530641,6.6,57627,19.22015722,13.75570479,12071,20.94677842,391,0.678501397,474,0.822531105,74,0.128412029,9814,17.03021153,34530,59.91982925,1305,2.37134758,39.04940393,39204,67.06353279
48003,Texas,Andrews,2016,8469.4,18.1,8.315899582,14.3,28.8,7.4,25.8,92.18179359,19.3,43.33333333,446.733263,87.75617446,24.58208458,47.62188,22.88722,5.72181,56.12,92,42.81643315,2.931052467,14.1,120697,24970,24.53033902,8.333829395,518.0096139,101.6103308,9.9,Yes,14.07907425,30.4,180,409.5,53.34186803,0,9.8,39.72668044,10.4,0,40.81245254,15.88714259,62.93986,66878,33.2688588,0,17477,30.62882646,9.944498484,281,1.60782743,270,1.544887567,151,0.863992676,4,0.022887223,9538,54.57458374,7269,41.59180637,1086,7.378218629,48.93288322,2440,16.50209658
48005,Texas,Angelina,2016,8808.5,20.3,9.039291392,18.5,33.6,5.3,27.2,70.29422272,14.9,30.12048193,534.2648721,63.85383311,25.128729,60.6123,41.02564,108.26211,69.29,90.25695652,50.64757388,5.209316966,25.9,81349,19196,39.75336616,12.57991103,348.0234538,70.49255236,9.06,Yes,15.77241044,16,1213,438.5,46.3601863,4.923903312,12.4,185.1747145,20.2,7.991232476,21.9839798,14.36515292,45.58405,42128,57.52187251,6.3,87750,26.10484331,15.00968661,13208,15.05185185,701,0.798860399,950,1.082621083,50,0.056980057,18602,21.1988604,53925,61.45299145,3655,4.502506868,51.07692308,37383,43.08236623
48007,Texas,Aransas,2016,11772.2,18.5,9.145673604,15.2,28,5.5,28.4,89.44641161,14.5,16.66666667,541.6071878,64.93799324,27.16727026,32.84612,32.03588,76.08522,42.99,90,51.42990002,5.470202564,32,88333,18987,34.19630797,9.443258335,201.3413303,104.2399383,8.71,No,18.72773537,28.1,497,498.8,77.45076344,0,14,91.74311927,17.6,16.40554507,19.46543061,16.54024442,24.02691,44551,51.34281201,9,24972,18.62485984,26.58978055,383,1.533717764,307,1.229376902,523,2.094345667,22,0.088098671,6666,26.69389717,16960,67.91606599,594,2.6193941,50.45250681,6313,27.26055791
48009,Texas,Archer,2016,6091.8,12.8,7.606679035,13.8,29.9,6.9,29.1,23.96730727,18.5,61.11111111,206.0675444,31.17144294,24.42155756,11.51941,0,0,43.41,96.23161765,58.84227297,4.536862004,13.7,100214,23716,17.22583876,12.67135123,120.99879,78.94440059,9.79,Yes,11.56156156,19.9,109,324.1,0,0,9.9,0,16.7,0,20.81165453,19.86368062,11.34945,58867,25.22960562,0,8811,21.65474975,18.11372149,76,0.862558166,105,1.191692203,24,0.272386789,6,0.068096697,721,8.182953127,7802,88.5484054,146,1.717849159,49.89218023,8057,88.98829247
48011,Texas,Armstrong,2016,0,11.2,9.036144578,12.4,30.5,4.6,28.6,7.995791689,18.4,45.45454546,411.5226337,57.89473684,27.70448549,0,0,0,0,0,76.17866005,3.244837758,15.9,109853,29375,29.23433875,20.52334531,17.24435248,145.3337486,9.75,No,8.059701493,59.2,27,343.5,0,0,10,0,15.9,0,0,23.96514161,51.1509,55177,26.97547684,0,1955,23.37595908,21.38107417,28,1.432225064,23,1.176470588,3,0.153452685,0,0,165,8.439897698,1716,87.77493606,27,1.484332051,50.69053708,1901,100
48013,Texas,Atascosa,2016,8529.2,23.5,8.652173913,15.1,27.9,8,26.8,40.16833293,16.9,19.75308642,486.5865737,63.38678532,24.49949269,21.23458,37.6774,35.58421,61.89,90.50611888,45.93733404,4.861851672,24.4,98339,21076,35.1731519,8.069139787,171.4965445,62.10310865,8.36,No,18.50616872,48.2,613,419.2,45.9646838,4.77326969,13.5,105.2773654,11.4,0,20.55595965,14.08164745,27.21145,52785,57.0533286,6,47774,27.85196969,13.90923934,430,0.900071168,586,1.226608616,278,0.581906476,50,0.104659438,29902,62.59053041,16772,35.10696195,1955,4.549579949,50.2616486,27266,60.71118434
48015,Texas,Austin,2016,6213.2,14.5,7.162534435,13.3,27.8,7.2,27,58.20811486,17.4,32.35294118,244.6012999,41.83121252,25.0422226,20.79939,20.60864,24.04342,62.72,95.54166667,58.22521224,4.679615677,18.3,104849,23132,29.41508104,12.47963393,202.2513464,73.52889686,8.63,No,14.38679245,37.4,326,307.6,35.46602355,0,11,147.5734705,16,0,26.74201524,18.24917673,20.60864,58792,44.85462892,5.1,29114,24.16706739,17.59291063,2599,8.926976712,240,0.824345676,163,0.559868105,4,0.013739095,7543,25.90849763,18440,63.33722608,821,3.052385024,50.35378169,18853,66.34408981
48017,Texas,Bailey,2016,7778.2,28.4,8.182784272,18.2,29.7,7.9,28.1,80.09769714,14.3,25,308.5553997,94.54545455,33.03824954,70.28395,28.94356,0,90.01,97.5,37.75563713,5.118890357,29.8,70890,16712,13.26198232,16.86814732,251.8660988,89.62079202,9.18,Yes,16.77282378,23.9,75,371.9,0,0,14.9,0,12.8,0,30.23462066,18.53315766,72.3589,36821,72.36315087,0,6910,30.27496382,15.00723589,72,1.041968162,190,2.749638206,49,0.709117221,13,0.18813314,4221,61.0853835,2524,36.52677279,1107,16.87242798,49.33429812,2060,28.7508723
48019,Texas,Bandera,2016,5848.2,13.8,9.282700422,13.8,27.5,7,27.5,62.46033683,16.3,45.45454546,121.731509,29.54710584,25.11341542,24.27067,14.35956,23.93261,51.03,92.14285714,56.78217822,4.704737184,23.8,98944,22470,26.16694124,11.64991991,89.96417498,74.12753838,8.56,Yes,11.59505592,58.7,278,290.8,0,0,12.1,77.41222007,16.7,0,30.03065921,18.40043232,9.57304,50107,42.35164025,0,20892,17.43251005,24.62665135,156,0.7466973,240,1.148765078,105,0.502584721,7,0.033505648,3746,17.93030825,16516,79.05418342,151,0.76747141,50.47386559,20485,100
48021,Texas,Bastrop,2016,6925.7,18.4,7.23518285,15.5,32.5,5.8,29,57.14632404,16.4,28.57142857,369.1665664,47.89160145,27.10139228,25.0577,26.89928,51.23673,65.95,89.78311567,46.13565912,4.793146451,22.2,102555,24313,27.2972973,8.968018464,368.7931972,77.65201721,8.67,No,16.86297605,54,904,354.3,41.23020628,5.808477237,11.4,171.7763309,15.6,11.37074308,24.36204316,17.8105305,25.61836,52886,58.54990173,4.1,78069,25.45568664,13.68404873,5704,7.306357197,1366,1.74973421,763,0.977340558,116,0.148586507,27357,35.04207816,42917,54.97316477,4359,6.151653283,49.07581755,47360,63.85244907
48023,Texas,Baylor,2016,11049.4,16,10.03717472,14.8,29.1,6.6,25.8,0,15.2,20,276.0143528,58.98123324,27.51107829,110.68069,27.83964,0,89.68,0,64.38953488,4.300423986,29.3,73783,14116,19.37984496,22.13613724,379.6239075,146.5002713,9.73,No,8.645533141,9.1,71,506.6,0,0,12.9,0,18.9,0,57.51092708,17.70700637,27.83964,36027,42.78350516,0,3592,21.29732739,25.08351893,98,2.728285078,24,0.668151448,6,0.167037862,3,0.083518931,445,12.38864143,2976,82.85077951,36,1.036567809,51.86525613,3726,100
48025,Texas,Bee,2016,6994.7,24.4,9.582215408,17.1,30.6,6.6,25,65.80458868,18.5,6.896551724,734.7741876,72.28195938,22.3419507,21.34211,27.38642,30.42936,103.91,88.49722992,41.28670788,5.703595547,29.7,74260,15449,42.89914731,7.622183603,219.6600941,50.88553237,8.49,Yes,15.72580645,28,340,362.5,60.74248758,0,12,843.465878,15.1,0,17.78599886,10.95644984,39.55817,40680,56.66541495,4.4,32863,21.30663664,11.42926696,2657,8.085080486,274,0.833764416,214,0.651188266,29,0.088245139,18979,57.75187901,10740,32.68113076,1001,3.273809524,39.96591912,13693,42.97730768
48027,Texas,Bell,2016,7253.5,17.3,8.816493906,17.6,30,5.2,24.4,85.77852273,17.9,33.01435407,1082.228971,59.66635824,18.88238086,84.13826,74.74023,185.02765,49.06,87.10239492,65.28915234,5.810811806,21,94246,23704,33.22969946,8.169059763,413.7139615,54.80978025,8.99,Yes,14.88694981,19.6,3042,364.4,78.49556682,8.197096671,9.5,200.927721,21,7.660721946,15.03247477,10.27110684,139.45434,51048,45.70124271,5.4,329140,27.74594398,9.872394726,68452,20.79722914,3726,1.132041077,10713,3.254845962,2585,0.785380081,77428,23.52433615,158618,48.19165097,6794,2.319966945,50.02491341,47113,15.18622979
48029,Texas,Bexar,2016,6845.2,20.4,9.242613934,13.3,28.2,6.9,20.6,96.31543067,18.2,39.66745843,662.2598146,51.86053858,22.33595329,71.63253,78.66947,144.51474,43.88,86.86812625,62.53384014,4.648314048,26.4,100397,21227,37.57194054,6.013391212,476.8598363,58.57394198,8.45,Yes,18.63167242,31.8,17350,344.8,51.79710561,6.091288975,12.5,344.6058731,14,10.53271737,10.90898176,10.50903318,68.10837,50699,56.8308459,6.7,1855866,26.17381858,11.28082523,134140,7.227892531,22895,1.233655878,53920,2.905382177,3787,0.204055681,1100164,59.28035753,541235,29.16347409,103526,6.247733125,50.79359178,77835,4.539084765
48031,Texas,Blanco,2016,6742.5,14.1,6.838905775,13.2,30.4,7.6,24,59.28360484,16.3,33.33333333,197.0905678,30.3030303,28.61402672,37.30299,36.99593,0,30.18,96.5,57.99632353,3.659394792,20.4,111113,25657,26.16520535,13.05604775,175.1423031,71.98333018,8.77,Yes,15.83434836,35.7,141,308.9,0,0,11.6,109.5290252,15.2,0,28.89139587,23.33923826,9.24898,57177,39.73747017,0,10812,19.22863485,22.41028487,101,0.934147244,146,1.350351461,54,0.499445061,11,0.101738809,2036,18.8309286,8459,78.23714391,320,3.15924573,49.58379578,10497,100
