FIPS,State,County/Borough/Parish,Year,Health_Outcomes_Rank,Yrs_Potential_Life_Lost_per_100K,Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,Healthy_Food_Access_Index,Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate_per_100K_Medicare,Graduation_Rate,Percent_Adults_with_Some_Post-secondary_Ed,Percent_Unemployed_&_Looking_for_Work,Percent_Children_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,County_Affected_by_Water_Violation,Percent_Households_with_One_or_More_Severe_Problems,Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature_Age_Adjusted_Mortality_per_100K,Child_Mortality_per_100K,Infant_Mortality_per_1K_live_births,Percent_Adults_Diagnosed_Diabetes,HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children_w/o_Health_Insurance,Other_Primary_Care_Providers_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian_Other_Pacific_Islander,Percent_Native_Hawaiian_Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
1000,Alabama,0,2018,0,9642.412033,21.40240566,10.14869718,21.5381544,34.7,5.6,29,62.81895067,14.17814586,25.89245368,543.6,35.553835,11.89813381,65.15772,46.75837,84.40771,62.02,89.32253684,59.58281283,5.987009202,24.7,92467,17560,38.08951569,12.27006744,436.0252882,76.99133721,10.1,0,15.45700056,33.4,78721,468.7,72.79316446,8.681847377,13.7,302.4,17.7,15.20074314,19.1157158,3.090049932,67.38223,46309,51.0895535,8.834696441,4863300,22.55306068,16.13207082,1288283,26.48989369,33932,0.697715543,68864,1.415993256,5068,0.104209076,203845,4.191495487,3201937,65.83877203,51759,1.137962353,51.56404088,1957932,40.9631829
2000,Alaska,0,2018,0,7642.104193,13.43787211,5.816326531,19.0354082,29.4,6.4,19.3,83.88651016,19.12504204,37.34939759,768.3,31.87059966,16.31966099,88.43062,95.701,356.38514,36.05,75.78051558,65.4834938,6.605202704,13.6,135227,33230,30.55579482,11.24003294,626.5110767,86.57200122,0,0,20.98498093,15.9,8104,356.8,65.75184292,5.373736342,7.1,109.3,13.9,16.86920234,8.951277687,10.5732941,133.57703,76144,42.74681805,6.117357896,741894,25.24983353,10.40660795,24943,3.362070592,112404,15.15095148,46912,6.323275293,9870,1.330378733,51599,6.955036703,453915,61.18326877,11474,1.681361853,47.68363135,241338,33.98021207
4000,Arizona,0,2018,0,6809.275244,17.75771344,7.059869985,14.71475109,26.7,6.4,20.2,86.25743642,17.28136271,27.08042771,481.1,32.88836414,12.78126803,65.84589,60.236,121.95806,36.09,77.55657707,62.89542073,5.299788595,23.6,101818,21908,36.11050645,5.572589013,414.954014,77.94657276,6,0,19.51391667,34.7,75808,328.1,49.57762757,5.682118244,9.5,270,15.8,18.87204975,12.3987483,8.755080765,81.40156,53481,50.15425583,5.732084641,6931071,23.53881529,16.89383935,292067,4.213879789,371605,5.361436927,236628,3.414017834,18423,0.265803077,2144775,30.94435189,3844532,55.4680799,320154,5.086946532,50.32665226,651358,10.19017941
5000,Arkansas,0,2018,0,9226.512531,24.47233892,8.887104628,23.58488517,34.6,5.2,32.3,65.64172929,15.92173489,27.41136104,545,43.52381756,11.07119256,65.71074,45.07658,205.10346,61.84,85.08364307,56.6406899,3.999270125,24,85811,17785,35.7672779,12.04081386,469.8546109,78.97542841,10.1,0,14.69240347,26.3,46702,458.2,67.06191697,7.583533543,12.9,214.8,18.4,12.86267798,18.96573035,4.998678108,64.7202,44406,63.58216666,7.291538114,2988248,23.59419299,16.28827326,461416,15.44102096,29049,0.972108071,47326,1.583737361,9000,0.301179822,218561,7.314018114,2177898,72.88210349,44028,1.585116295,50.87847461,1278329,43.83967588
6000,California,0,2018,0,5217.322639,17.5265863,6.776247823,10.97292811,22.7,8.8,17.9,89.6220847,17.81262457,29.43466172,487.5,24.05312975,9.721116968,78.04609,82.34901,308.20624,36.16,82.26506922,63.54849147,5.432138667,19.9,132228,25308,31.83977971,5.774199793,407.0120202,47.62018268,8,0,27.8819603,39.3,334851,268.8,38.4573199,4.497016168,8.5,376.4,12.5,11.80402268,8.502250102,3.551168132,52.21909,67715,58.91069964,4.972494234,39250017,23.1665199,13.6219941,2221095,5.658838313,648055,1.651094826,5817509,14.82167256,196944,0.501767936,15280773,38.93188887,14802979,37.71457984,3718345,10.2845568,50.3354075,1880350,5.047383424
8000,Colorado,0,2018,0,5732.160553,14.31880838,8.828697339,15.59333176,20.5,8.2,15.1,91.19938853,20.60369309,34.55175067,445.4,24.02047563,9.227657697,80.45341,77.48335,306.88317,31.18,77.33406739,71.2135504,3.314158069,13.4,121156,26973,28.13592779,8.699597953,308.6489438,73.94549892,5.4,0,17.29632215,34,50147,281.7,44.61554176,4.984933756,6,253.6,12.2,16.57189804,9.755127097,4.443133196,93.76334,65718,41.84189685,3.634156919,5540545,22.76620802,13.41969066,219865,3.968291928,88197,1.591847011,180510,3.257982744,10602,0.191353017,1181219,21.31954528,3802465,68.62980086,158063,3.146281811,49.71942291,696435,13.84783969
9000,Connecticut,0,2018,0,5271.090041,13.84150297,7.823786754,13.34553388,25.2,8.5,20.4,93.60532185,18.37566878,33.72520206,364.9,13.45730564,6.867228769,84.77017,84.44123,347.07582,46.19,87.31786962,68.44889457,5.088936933,13.1,143701,28283,31.77441774,9.421073239,260.7968911,61.09598861,8.2,0,19.04874263,32.9,33656,268.3,34.75889186,5.009694938,8.6,338.7,12.2,22.24077168,7.751367364,3.258983457,104.0137,73380,38.00002611,3.314048123,3576452,21.06260618,16.14457569,359890,10.06276612,19140,0.535167255,167870,4.693757948,3815,0.106669962,562348,15.72362777,2420461,67.67771523,127308,3.74461947,51.19143218,429155,12.00736857
10000,Delaware,0,2018,0,7183.045399,15.83680926,8.633381032,17.65767891,30.6,8.5,26.1,86.34465339,18.40834197,36.28620102,492.2,24.05900161,6.933481734,71.25233,48.21099,231.18169,47.24,85.50970874,62.16073634,4.380158121,17.7,116369,26787,37.99420978,10.03241241,509.0958824,68.14992727,9,0,15.6454158,34.1,11698,343.7,57.19779782,7.720512291,11.4,404.9,12.1,23.60943432,12.08049404,2.824015504,106.50533,62112,37.71451208,6.29481682,952065,21.45588799,17.53556742,204799,21.51103129,6174,0.648485135,37846,3.975148756,918,0.096421988,87152,9.153996839,598485,62.8617794,19098,2.172488636,51.61359781,149985,16.70334345
12000,Florida,0,2018,0,6803.005667,18.50474948,8.638895682,15.47759345,25.9,6.7,23.8,87.04541333,17.52202504,26.35416667,454.8,25.29060273,16.30106408,72.65454,57.64966,142.17628,53.64,77.88487882,61.79158851,4.882313566,21.3,98580,21048,38.45734872,7.141140428,499.6177489,72.26377606,7.4,0,21.51365222,39.5,246577,332.3,53.41628164,6.288284928,10.6,615.2,15.1,17.42435231,13.2532121,7.341588415,87.76739,50857,58.84924475,5.898639341,20612439,20.11752224,19.86624193,3206637,15.55680529,102439,0.496976607,587722,2.851297704,23107,0.112102212,5126975,24.87320884,11314909,54.89359605,1216654,6.457742201,51.14527204,1661466,8.836969339
13000,Georgia,0,2018,0,7508.485875,18.80016977,9.509725258,17.88638205,30.2,5.8,24.1,76.65620352,15.05168029,23.32106716,570.8,31.60845601,15.76554189,65.81588,50.40556,120.60672,50.18,79.55229924,62.29230923,5.369630415,23.1,103241,20745,37.566777,8.869431397,373.978801,60.93834243,10.1,0,18.22201322,40,125636,380.2,60.57783271,7.003736412,11.3,588,16.2,12.74223388,13.10582699,6.955552055,87.23255,53468,62.41825731,6.717825034,10310371,24.35939502,13.13882886,3210707,31.14055741,52365,0.507886671,420391,4.077360553,11942,0.115825124,972698,9.434170701,5503895,53.38212369,279457,2.960858003,51.30665036,2415502,24.9338204
15000,Hawaii,0,2018,0,5615.112802,14.04516962,8.236067478,13.05144165,22.3,7.5,20.1,92.76785065,20.30557017,34.95327103,498.3,25.63402334,4.756948238,87.24486,85.12086,225.33228,23.32,81.5439582,68.16851081,3.018617409,11.2,132523,30670,29.17405338,6.489229207,250.0754282,53.23562963,0,0,27.80257606,40.3,13621,276.3,50.62536501,5.713665506,8.8,233.1,12.8,12.08022673,8.052022999,1.628789878,53.06054,74659,49.61673929,1.967139796,1428557,21.56133777,17.07751248,27884,1.951899714,5695,0.398654026,539050,37.73388111,145368,10.17586278,148148,10.37046474,316077,22.12561347,62722,4.744377578,49.76644264,109812,8.072625103
16000,Idaho,0,2018,0,6289.939923,15.29983231,6.594277662,14.48019336,28.6,7.1,20.2,79.5305126,17.36145271,32.38366572,344.5,25.77642576,12.82172465,64.29275,64.87874,191.3091,32.35,78.80641325,64.49945987,3.822852408,16.6,92241,21759,24.95171149,7.444423631,212.3771872,71.2434774,7.2,0,16.09370194,22.1,16889,306.6,49.68560407,5.286315922,8.6,79.2,14,13.53434687,13.18278138,5.927629912,92.6245,51647,46.94504019,1.879472848,1683140,25.97365638,15.14960134,11582,0.688118635,29457,1.750121796,24815,1.474327745,3514,0.208776454,207743,12.34258588,1386279,82.3626674,32166,2.114209094,49.88343216,461212,29.42187394
17000,Illinois,0,2018,0,6273.873267,17.23485454,8.240705217,15.80194909,28,8.7,22.2,91.26556665,21.11437424,33.10442335,540.4,25.50361738,8.199606187,80.661,75.0691,190.10995,54.76,85.61080334,68.23919053,5.87465616,17.8,117619,23684,32.36992269,9.818044253,388.3226784,56.05486475,10.45,0,18.35879911,40.4,138395,324.3,50.97270531,6.409610185,9.3,330.1,11.7,15.44025323,8.134499307,2.887355327,65.21872,60977,49.8807146,6.604488988,12801539,22.85747831,14.61749248,1809534,14.13528483,75564,0.590272779,708794,5.536787413,8276,0.064648477,2181439,17.04044334,7896462,61.68369288,539505,4.472958913,50.85129218,1477079,11.51212972
