FIPS,State,County,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
35000,New Mexico,0,2019,8799.841598,20.83094372,8.915934839,16.6211912,25.6,4.1,18.2,76.88802188,16.6121556,31.25351321,628.6,38.62696859,11.16396361,74.43483,66.66443,379.63287,3212,71.1,60.00722599,6.152186167,25.9,96486,18538,39.80282701,8.202727996,649.8844258,101.2273031,5.9,0,18.16515083,25.9,27221,388.3,53.70118476,5.562304201,8.8,186.5,15.8,23.88797022,17.09060246,5.696344999,89.12536,47086,71.3597985,7.2,2088070,23.3751742,16.88645496,37933,1.816653656,227132,10.87760468,36222,1.734711959,3372,0.161488839,1018349,48.76986883,783064,37.50180789,87980,4.503098119,50.47369102,464818,22.5729769
36000,New York,0,2019,5427.815967,16.10511886,7.955363593,14.1755717,25.7,9.1,24.5,92.90610092,18.75191553,20.98173095,552.8,16.49083347,7.067685964,83.36166,81.28206,267.64538,4141,81.8,67.69037053,4.693334158,19.9,132486,23178,34.33484149,7.960379815,379.0257128,47.28011394,8.5,0,24.24018352,37.6,189569,278.4,39.52958188,4.73901202,9.8,768.8,11.9,17.36473619,6.033087688,2.571661724,105.9226,64783,52.6387907,3.4,19849399,20.93008962,15.93092567,2889100,14.55510064,193229,0.973475318,1806646,9.101766759,26943,0.135737107,3811945,19.2043346,10972959,55.28106418,1338707,7.189097075,51.44708412,2349997,12.12707519
37000,North Carolina,0,2019,7611.233154,17.56597007,9.029236986,17.87985476,30.2,6.6,23,73.40926516,16.69451425,29.65517241,577.6,26.64561242,12.24477608,70.37695,55.6582,227.81121,4702,86.3,66.53046414,4.550416031,21,101083,21242,35.33847323,11.48540799,351.0869081,71.42568188,9.8,0,16.14414209,32,131511,371.8,58.01169886,7.165455039,11,354.9,15.4,19.48921067,13.75469082,4.653624269,109.62271,52797,57.38732145,6,10273419,22.41070865,15.87051983,2196003,21.375581,160909,1.56626533,313997,3.056402158,12752,0.124126155,972288,9.464113164,6486100,63.13477529,237709,2.515816925,51.31671355,3233727,33.91256636
38000,North Dakota,0,2019,6679.190265,14.31116692,6.422837942,19.77365304,32.2,9.1,21.6,74.2348619,25.8830243,46.26168224,456.5,23.05345864,7.573586872,75.99426,65.39642,173.94919,4452,85.12953064,73.2444989,2.603974373,11.4,115308,26050,26.90537632,16.01684539,257.974642,69.03023106,5.4,0,11.15505273,13.4,7554,317.3,55.57667277,6.155074839,8.5,53.4,7.4,9.07380261,15.85003793,7.23947219,129.07189,62400,30.88591104,2.2,755393,23.26894742,14.9866361,22548,2.984936318,41588,5.505478605,12269,1.624187675,522,0.069103103,28006,3.707474123,639029,84.59556814,4155,0.598954317,48.72880739,269719,40.10148813
39000,Ohio,0,2019,8491.560531,17.04210323,8.575498958,22.5063684,31.8,6.7,24.6,84.1215675,19.06918166,33.105613,520.9,25.67640526,6.672412174,76.66363,61.55108,212.27232,5135,85.3,64.8976181,4.99742908,19.8,103555,21797,35.71124713,11.19561082,292.5949315,82.11519396,11.5,0,14.53560839,30.3,163914,403.4,57.80132901,7.401355163,11.7,212.5,15.1,36.54718794,10.10838576,3.788744991,86.15093,54077,39.04218078,5.7,11658609,22.34601915,16.66696259,1462890,12.54772332,32991,0.282975439,271531,2.329017124,6633,0.05689358,440886,3.78163467,9219577,79.07956258,111447,1.021133123,50.99672697,2546810,22.07609862
40000,Oklahoma,0,2019,9331.451576,19.62213118,8.038530946,19.59327492,33.3,5.7,28.4,71.56437774,12.81521082,27.11457709,548.4,39.137174,15.98517075,62.92753,60.24121,391.79682,4862,82.67395793,59.64755419,4.291181473,21.3,97568,21052,33.87635146,11.46662432,428.0141079,93.1345246,9.4,0,14.46142429,26.1,59766,459.4,68.76260941,7.449833345,11.9,179.9,16.2,19.65873356,17.77813201,7.726322025,83.34046,50051,62.27947652,7.3,3930864,24.4039224,15.33563614,292429,7.439305964,363551,9.248628291,91288,2.322339313,7423,0.188838891,417710,10.62641699,2581568,65.67431486,75131,2.069075866,50.45460744,1266322,33.75642535
41000,Oregon,0,2019,6049.232318,15.8221906,6.361914055,16.21088514,28.3,7.8,15.2,88.3304264,18.53224452,31.44807411,432.5,20.29277434,7.442742149,92.44002,79.34293,476.85417,2903,76.7,69.06311666,4.124783873,16.5,108984,23758,29.96018374,10.29201422,248.6946446,72.19252742,7.85,0,20.00743431,28.3,46355,308.9,43.34111799,4.920526512,9.3,193.7,12.9,12.56398378,10.16940635,3.496469964,79.43949,60123,50.53770254,2.8,4142776,21.0877682,17.10971098,79485,1.918641027,74655,1.802052537,192917,4.656708449,18336,0.442601772,540923,13.05701781,3139685,75.78698438,114488,3.018185087,50.44412249,726692,18.9683624
42000,Pennsylvania,0,2019,7483.098711,15.0615532,8.19226414,17.95561317,29.9,8.2,22.4,84.33380078,20.52110826,28.27993255,444.7,19.67303551,6.758586428,81.01389,68.58752,190.05841,4534,86.6,64.24062814,4.912424604,16.9,112648,23391,33.63082867,12.32065107,315.2384559,81.42350548,10.6,0,15.30765136,36.4,163597,357.4,48.89806027,6.331136005,10.9,314.4,12.5,34.58769444,9.965381171,4.450389395,105.76675,59165,47.8835672,5.3,12805537,20.80752256,17.80235378,1383818,10.80640351,47983,0.374705098,462768,3.613811744,9606,0.075014425,940635,7.34553342,9796510,76.50214122,240774,1.993350696,51.02642708,2711092,21.34318304
44000,Rhode Island,0,2019,6123.109508,14.84005963,7.494234697,14.4304,27,8.3,23.4,94.89201163,17.42316951,35.59322034,467.3,16.24905551,5.093249723,96.4573,63.98405,386.358,4401,84.1,66.33717903,4.469601088,18.2,121302,22734,36.59571818,9.910774631,229.0681138,75.9227944,6.6,0,18.93692158,32.5,11456,305.6,41.32876136,5.871967567,9.6,259.5,12.1,30.1352651,6.61189184,2.017574499,97.5804,62923,47.62260712,2.4,1059639,19.56628625,16.79392699,62609,5.908521676,10948,1.033182055,39014,3.681819941,2015,0.190159101,164004,15.47734653,768229,72.4991247,44123,4.405396743,51.39939168,97524,9.265348429
45000,South Carolina,0,2019,8678.136326,19.06772529,9.611655809,20.0130001,32.4,6.3,24.7,68.74678404,18.47273192,35.48175661,575.5,29.56473799,12.11417231,67.14211,54.37499,163.88128,4520,83.6,62.08965333,4.270286748,22.3,96939,20353,38.8956124,11.69695788,499.795734,80.51384798,10.2,0,15.32674598,33.9,73733,412.3,59.97308291,6.902161856,12.6,394.6,13.9,17.79374496,18.53834845,4.379407828,82.09986,50675,66.84447672,8,5024369,21.98632306,17.20767324,1346633,26.80203226,27373,0.544804731,85665,1.704990219,4949,0.098499931,286382,5.699860022,3203045,63.7501943,65124,1.414668903,51.4827235,1557555,33.67421461
