FIPS,State,County,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
48173,Texas,Glasscock,2018,0,16.50572053,0,13.89027987,27.5,6.9,24.5,0,20.66682945,12.5,0,0,16.7690957,0,0,0,0,100,49.07407407,3.841059603,11.7,137265,29455,3.966005666,7.604562738,26.23983207,0,6.9,No,7.446808511,39.6,0,0,0,0,10.4,0,10.1,0,0,14.40443213,0,71360,34.93589744,0,1314,25.41856925,13.77473364,21,1.598173516,4,0.304414003,1,0.076103501,2,0.152207002,487,37.06240487,795,60.50228311,139,11.41215107,44.74885845,1226,100
48175,Texas,Goliad,2018,6280.490658,18.45115067,6.653225807,14.33504444,29.4,7.5,27.4,59.44521498,17.07532108,12.90322581,622.6,30.60623896,13.5263247,0,39.90954,26.60636,71.07,99,56.00272851,5.799701046,24.9,105185,21800,41.86915888,14.60629399,152.0640458,93.55037019,7.9,No,9.731543624,51.9,125,411.8,0,0,12.2,109.3,13.3,0,25.06458952,9.864146486,26.60636,55264,47.95321637,0,7517,21.61766662,21.20526806,312,4.150591992,74,0.98443528,34,0.452308102,2,0.026606359,2689,35.77224957,4386,58.34774511,88,1.238041643,50.45895969,7210,100
48177,Texas,Gonzales,2018,8322.85921,22.14292367,8.585131895,15.44116446,29.7,7.5,29.6,42.17700813,17.09142128,23.07692308,405.6,64.29040018,24.67356782,38.88592,43.11171,33.53133,50.81,88.6,38.28809107,4.301752177,25.6,93301,17268,35.43162157,13.12399747,626.3116474,88.00406774,8.4,No,18.06098515,25.9,293,423.2,54.36998777,0,11.9,102.7,12.5,0,35.21647568,13.87559809,52.69209,45491,74.52631579,0,20876,27.29929105,16.14293926,1265,6.05958996,378,1.810691703,132,0.632305039,23,0.110174363,10565,50.60835409,8683,41.59321709,1644,8.706704798,49.444338,12930,65.27995153
48179,Texas,Gray,2018,9328.988355,18.92339084,7.291666667,16.59975788,30.3,7.3,26.5,92.74461948,18.99009698,18.51851852,329.8,72.22914072,21.87482459,34.4679,44.0044,22.0022,51.29,94.6,48.73640435,6.997050148,24.1,92840,20463,31.64884443,16.80310211,598.2268384,80.86956522,7,No,13.38488995,21.9,383,517,63.90320794,9.532062392,11.4,116.4,15.8,0,23.08316177,13.18196668,48.40484,47828,60.60825489,0,22725,25.56655666,15.26072607,1104,4.858085809,364,1.601760176,142,0.624862486,1,0.00440044,6568,28.90209021,14404,63.38393839,926,4.337236534,46.89988999,4369,19.38761926
48181,Texas,Grayson,2018,8985.993892,16.49546909,7.537125245,16.41992638,29.1,6.6,27.1,71.9152527,18.47412833,31.89655172,329.5,44.53799349,20.10543786,50.21241,63.16528,102.93602,64.43,94.6,59.02136458,3.846659653,19.2,95324,20788,36.41971078,12.0350371,263.7086305,70.15014706,10,Yes,14.99625628,29.3,1956,428.4,54.63103043,5.690298508,10.8,167.2,19,8.747839549,19.33273136,11.39236425,65.50474,51808,54.26925328,4.630594337,128235,23.87413733,17.26985612,7430,5.794049986,2325,1.813077553,1742,1.358443483,96,0.074862557,16686,13.01204819,97665,76.1609545,3081,2.645770717,51.09603462,52159,43.15047528
48183,Texas,Gregg,2018,10102.56034,18.1815034,7.921016795,16.23460919,34.9,5.9,29.8,84.74657028,19.01407578,31.09243698,712.6,59.17243829,20.50751407,74.93473,88.08437,127.68193,55.92,92.6,54.83003953,6.091440122,25,94665,19916,39.82651091,14.34234699,470.2749713,66.96511815,10,Yes,18.16084377,20.8,1875,483.1,75.2197828,8.117366697,10.7,455.6,21.3,6.737509332,20.66043758,11.62388494,106.67098,45594,60.63122924,10.21414892,123745,26.0220615,14.78443574,25016,20.21576629,1223,0.988322761,1734,1.401268738,130,0.10505475,23025,18.6068124,71498,57.7784961,4865,4.275908136,51.13661158,16266,13.36235932
48185,Texas,Grimes,2018,8912.424402,19.93042711,9.167779261,17.05918596,30.1,5.9,30.8,41.00135318,17.65256479,27.45098039,493.2,41.27712119,21.17265445,21.80867,18.06946,10.84168,58.89,89.5,41.79329021,6.690909091,24.9,92691,18311,45.0547627,7.633032858,415.4222435,73.53103377,9.6,Yes,17.05555556,40.7,488,473,53.76121749,0,12.1,400.3,18.6,0,26.91463312,14.23632935,39.75281,50891,66.41559592,0,27671,22.30494019,17.1876694,4308,15.56864588,265,0.957681327,107,0.386686423,28,0.10118897,6528,23.59148567,16280,58.83415851,1102,4.281440615,45.50251166,18331,68.90317246
48187,Texas,Guadalupe,2018,5738.600765,16.54874114,8.373420302,14.2249369,32.3,7.7,25.2,72.22902238,21.37983207,26.08695652,258.1,29.65346666,14.82241016,32.39691,31.55895,28.33865,46.36,94.7,62.29211391,3.589907719,13.6,117058,30212,28.74608968,6.016568705,188.3688102,49.81080039,9.7,Yes,12.02637639,40.7,1516,312.9,36.64345914,5.126118796,10.9,116.4,11.5,7.492881762,13.44517059,8.661206834,23.18617,67683,41.57151949,2.888221831,155265,25.65678034,13.56004251,11293,7.273371333,1493,0.961581812,2853,1.837503623,314,0.202234889,58384,37.6028081,79456,51.17444369,4088,2.968988307,50.6295688,34412,26.16225586
48189,Texas,Hale,2018,7573.543343,25.83205208,10.12201886,16.70741818,30.5,7.4,27.7,74.43277369,17.3729366,36.84210526,486.8,64.80166102,22.99050224,34.92433,23.3488,105.06961,44.16,90.7,46.43340858,5.69539589,29.9,80770,18626,36.92658175,15.71594878,197.3215428,55.27317485,7.7,No,15.4572778,17.2,400,398.1,41.30524577,6.065400844,10.6,76.8,13.6,9.676514133,15.30634851,11.99343388,49.6162,40152,72.68947015,0,34263,27.74713248,13.07532907,1704,4.973294808,579,1.689869539,213,0.621661851,43,0.12549981,20224,59.02577124,11751,34.29647141,2038,6.301988311,48.18608995,8379,23.09982632
48191,Texas,Hall,2018,7877.934843,27.00559719,13.61502347,19.18744309,29.8,6.3,29.2,42.61855055,14.00135008,40,254.2,51.51915456,29.80769231,31.86743,0,0,73.41,100,44.96124031,7.068062827,42.1,57011,13850,42.2310757,19.12045889,190.9355844,68.94390473,6.8,Yes,9.787234043,20,60,472.9,0,0,13,0,18.6,0,0,19.01681759,31.86743,30971,70,0,3138,23.51816444,23.0720204,232,7.393244105,43,1.370299554,13,0.414276609,2,0.063734863,1095,34.89483748,1762,56.15041428,195,6.408149852,51.01975781,3353,100
