FIPS,State,County/Borough/Parish,Year,Health_Outcomes_Rank,Yrs_Potential_Life_Lost_per_100K,Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,Healthy_Food_Access_Index,Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate_per_100K_Medicare,Graduation_Rate,Percent_Adults_with_Some_Post-secondary_Ed,Percent_Unemployed_&_Looking_for_Work,Percent_Children_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,County_Affected_by_Water_Violation,Percent_Households_with_One_or_More_Severe_Problems,Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature_Age_Adjusted_Mortality_per_100K,Child_Mortality_per_100K,Infant_Mortality_per_1K_live_births,Percent_Adults_Diagnosed_Diabetes,HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children_w/o_Health_Insurance,Other_Primary_Care_Providers_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian_Other_Pacific_Islander,Percent_Native_Hawaiian_Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
1000,Alabama,0,2016,0,9544.7,21.9,10.22597324,21.1,33.59118585,6.6,29.31867296,62.80669058,13.3,29.66930601,611.029852,44.23245217,15.87177168,63.76039,45.38727,74.38069,65.43,81.38335478,58.3515148,6.800153293,27.4,89929,17194,38.38541244,12.5120973,417.9688725,74.249383,12.8,0,15.38631076,32.6,73929,461,72.7840731,8.944142995,12.36308375,298.0192505,18.8006261,12.98162125,19.81297925,4.727045151,52.0273,42917,51.40490995,9,4849377,22.83944927,15.3407747,1278519,26.36460312,33772,0.696419355,64633,1.33281038,5089,0.104941315,200664,4.137933594,3209637,66.18658438,59335,1.313271244,51.54084741,1957932,40.9631829
2000,Alaska,0,2016,0,7366.1,13.2,5.804636138,19.9,28.40288432,7.3,20.27099182,66.99440041,21.7,33.11897106,789.392015,38.67918554,20.84587095,84.20256,91.8923,315.03993,40.14,71.92418591,65.93435771,6.796690307,15.5,130197,32105,31.08979695,11.33129833,614.8558811,80.25733481,0,0,20.43954307,16.6,7422,345.3,54.19072739,5.562031218,7.684111997,104.9503848,14.24914165,16.24825887,8.920337161,12.04889317,121.21097,70898,34.40596883,5.3,736732,25.32033358,9.421743592,26171,3.552309388,108956,14.78909563,44681,6.064756248,9296,1.261788547,50178,6.81088917,456312,61.93731235,11603,1.722019228,47.43054462,241338,33.98021207
4000,Arizona,0,2016,0,6752.5,18.7,7.025532048,16.5,23.51218223,6.8,20.61931485,85.79320111,16.6,26.9068323,466.3941812,44.7877657,19.97901206,66.38373,58.30809,113.49652,40.06,75.48585779,62.38522529,6.891350237,25.6,98928,21364,36.210047,5.636354198,416.2031019,73.88211857,10.12,0,20.15094436,34.6,68082,321,51.60327525,6.205943583,9.621206869,236.9953515,17.52611888,17.91439391,12.91988569,12.34637729,68.21676,50036,0,6.7,6731484,24.09115137,15.89867851,273462,4.062432593,357672,5.313419745,221347,3.288234808,17740,0.263537728,2056455,30.5498015,3784049,56.21418695,320856,5.24197422,50.3252626,651358,10.19017941
5000,Arkansas,0,2016,0,9098.5,22.5,8.951080459,24.7,33.34759331,6.1,31.52422178,61.33433793,14.3,29.76054732,523.7814122,52.96845482,18.84047432,64.77723,43.42009,180.92827,65.86,85.04482473,55.33245231,6.130228725,26.3,83589,17270,36.74781652,12.0194379,484.4643329,76.50462739,11.76,0,14.87028203,25.8,43697,446,67.11938245,7.556982666,11.80105749,205.4702029,19.74303341,11.80861968,20.15459576,6.118267943,48.71275,41335,51.81453728,7.7,2966369,23.83449261,15.71588026,456453,15.38760013,28689,0.967141984,44193,1.489801168,8633,0.291029201,208821,7.039616447,2176899,73.38598131,44503,1.616328393,50.87205941,1278329,43.83967588
6000,California,0,2016,0,5274.6,18.1,6.792517457,12.8,22.54784462,7.7,16.67056928,93.50885313,17.2,30.0150933,439.9045988,31.89936812,19.35399486,78.47384,79.1315,271.2016,40.7,84.7230219,62.19705444,7.518183662,22.6,126489,24495,32.10103374,5.755687188,424.5285772,45.74650551,9.3,0,28.5118796,37.7,312690,272.5,40.3790433,4.902583443,9.857827983,374.9636419,14.95268208,11.29831653,8.695862093,7.886267776,44.82701,61927,48.48866783,5.3,38802500,23.58907802,12.86784872,2220275,5.721989563,645309,1.66306037,5586184,14.39645384,194088,0.500194575,14988768,38.62835642,14920185,38.4516075,3780555,10.63578268,50.34107596,1880350,5.047383424
8000,Colorado,0,2016,0,5730.7,13.1,8.82429772,15.7,20.05667749,7.5,14.89495282,91.34959147,19,34.27350427,392.9769207,32.97846892,15.98337096,81.18265,73.97497,265.18587,33.19,76.83520165,70.44115593,5.018357768,15.6,115588,25415,28.95058067,8.693395885,317.5141854,68.94465565,12.74,0,17.5605208,32.8,45181,279.4,46.70063089,5.773715647,6.796436561,269.4815732,13.91474816,16.13982962,10.15092152,8.852769228,79.80035,61324,34.42645933,3.6,5355866,23.27115727,12.69663954,211192,3.943190513,84946,1.586036693,168460,3.145336347,10071,0.188036818,1135109,21.19375279,3694912,68.98813376,160873,3.310045276,49.75305581,696435,13.84783969
9000,Connecticut,0,2016,0,5275.2,13.9,7.9386424,15.4,24.66207037,7.9,21.84911088,94.40149498,17.6,33.18284424,355.81519,18.54583089,10.92742984,85.20389,81.10264,306.36613,50.08,85.58174879,67.51124934,6.615402325,14.9,139281,27332,31.47413391,9.204467086,279.2523073,52.89045883,10.5,0,19.27495157,32,31815,266.3,37.19385783,5.745471249,8.61273609,336.583731,13.58006496,15.24607386,7.935653462,4.660058039,88.74859,70007,31.38385488,3.7,3596677,21.55962295,15.45657283,354962,9.869165344,18443,0.512778879,161770,4.497762796,3862,0.107376893,541152,15.04588819,2475371,68.82383378,134460,3.957365465,51.21749882,429155,12.00736857
10000,Delaware,0,2016,0,7272.7,14.9,8.62371834,19.9,28.95702095,7.9,24.76509019,84.91448147,17.2,39.88764045,568.4271589,31.65178918,10.9059197,72.26581,46.81418,209.16746,53.32,80.56313206,61.43995682,5.723070248,19.2,114683,26281,37.71043438,10.26196086,576.4644079,60.62154708,11.88,0,16.10716157,32.5,10724,343,61.04700497,8.004714433,10.74372209,390.9776389,13.21200455,17.85164777,12.13610933,4.986922821,88.81868,59853,46.9274049,6.2,935614,21.83026334,16.44983936,198501,21.21612118,6188,0.661383861,35093,3.750798941,863,0.092238893,83325,8.905916329,595873,63.68790976,19835,2.303419652,51.6158373,149985,16.70334345
12000,Florida,0,2016,0,6764.1,18.2,8.662671608,17.6,25.45418017,7.1,23.93875865,91.98802105,17,29.08180026,415.0729533,33.51490469,24.29803443,72.08153,54.97329,125.59507,55.35,75.47619986,60.57949598,6.259862471,24.2,95296,20333,38.14159789,7.274127672,514.3084291,68.33999281,11.37,0,22.52198995,37.9,222442,325.4,53.58900305,6.819927667,11.19110494,598.9632017,16.95685439,13.11183047,13.82098943,11.86274171,70.95857,47439,51.44875291,6.5,19893297,20.37663239,19.05940478,3094721,15.5566018,99203,0.498675509,553820,2.783952806,21978,0.110479424,4788869,24.07277688,11103313,55.81434289,1172071,6.410029097,51.12280282,1661466,8.836969339
13000,Georgia,0,2016,0,7295.3,18.5,9.479709071,17.4,28.9649607,6.5,24.60844161,75.17034312,15.6,23.63515313,514.8214027,42.0710665,21.14759999,65.12101,48.55733,102.02684,55.09,72.829194,61.17831522,7.19770279,26.3,100021,19958,37.29669004,9.025069337,384.7312108,57.64561381,12.78,0,18.37650261,39,113376,372,55.79624392,7.298966056,11.37998102,481.7472708,18.73257323,11.19647125,13.87819931,10.02188753,71.60299,49240,52.56244819,6.8,10097343,24.69245622,12.39472602,3098214,30.68345802,50988,0.504964524,387181,3.834483983,11895,0.117803268,935279,9.262624831,5487103,54.3420482,281884,3.051726066,51.20511406,2415502,24.9338204
