FIPS,State,County,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
48001,Texas,Anderson,2017,10468.2,19.27225562,7.684986914,19.59672474,31.6,5.7,25.7,30.64764446,18.02127606,21.42857143,379.7,59.19065835,21.09620481,43.38244,36.471,38.20771,64.34,91.1,38.94054054,3.987031195,26.9,84605,18037,36.75259578,11.10590522,319.7633069,72.15779425,9.2,Yes,14.95726496,23.2,1075,546.5,35.89536501,6.289308176,11.7,483.5,20.1,12.12856277,21.64763069,12.55014826,29.52414,43062,60.59676849,6.9,57580,19.28621049,13.96665509,12127,21.06113234,392,0.680791942,471,0.817992359,76,0.131990274,10109,17.55644321,34120,59.25668635,1370,2.495628097,38.73219868,39204,67.06353279
48003,Texas,Andrews,2017,7788.7,18.32703336,7.492507493,14.61015659,28.1,7.6,23.8,92.18179359,19.38617912,43.47826087,369.1,81.64852255,20.70484582,45.77445,22.09334,11.04667,46.03,95.7,44.20840787,3.47199828,13.4,124366,28903,23.34661355,6.866166962,578.5572229,101.2591878,7.2,Yes,14.86097795,26.5,187,399.1,0,0,8.8,38.8,9.1,0,45.88370246,13.93061517,55.23336,72184,36.51307597,0,18105,31.19027893,9.803921569,278,1.535487434,283,1.563104115,164,0.90582712,4,0.022093344,10106,55.81883458,7327,40.46948357,1270,8.307169022,48.82629108,2440,16.50209658
48005,Texas,Angelina,2017,8609.8,22.41943307,8.910315985,20.30756644,37.5,5.4,29.4,70.29422272,17.46245948,23.86363636,567.2,58.49582173,22.41524662,60.39886,40.79089,112.17495,57.78,92.4,52.24765205,5.635536527,27.6,84301,19279,39.86065752,12.19373219,344.0310796,70.66139062,9.3,Yes,15.65047278,15.4,1247,435.8,46.67419243,5.675368899,12.9,184.4,20,8.350857481,20.60466516,12.16587137,53.25477,45428,64.24163506,6.4,88255,26.05631409,15.24446207,13197,14.95326044,692,0.784091553,1004,1.1376126,53,0.060053255,19055,21.59084471,53887,61.05829698,3988,4.890071487,51.08265821,37383,43.08236623
48007,Texas,Aransas,2017,11863.1,19.59677817,9.125893348,15.65703319,26.9,5.6,24.2,89.44641161,14.4119049,23.52941177,529.6,57.93165875,23.2998947,56.06279,31.55819,74.95069,45.16,91.4,47.17822887,5.093143084,32.9,97484,19301,33.68586859,8.008970047,313.5701613,107.4915894,7.7,No,18.30198272,27.8,522,495.9,76.04562738,0,12.1,108.5,17.2,20.08623691,21.98206976,14.97215921,23.66864,41560,55.37799631,5.9,25350,18.63905325,27.10848126,406,1.601577909,315,1.24260355,513,2.023668639,22,0.08678501,6830,26.94280079,17125,67.55424063,546,2.360468635,50.29585799,6313,27.26055791
48009,Texas,Archer,2017,5934,13.12723107,6.296296296,14.13335466,27.1,7,25.7,23.96730727,18.30594025,60,241.9,31.23450669,19.52473596,0,0,0,60.17,98.5,60.06528836,4.425837321,12.8,103484,26953,19.72193615,12.48439451,154.8641419,86.78969487,8,Yes,10.77844311,20.9,119,356.9,0,0,10.6,0,16,0,22.63138326,14.96296296,11.47447,60414,29.8102981,0,8715,21.35398738,18.89845095,81,0.929432014,109,1.250717154,40,0.458978772,6,0.068846816,723,8.296041308,7675,88.06655192,117,1.38379657,50.05163511,8057,88.98829247
48011,Texas,Armstrong,2017,0,11.1398164,7.096774194,12.34278985,27.2,4.7,24.7,7.995791689,19.08893692,33.33333333,0,53.19148936,20.48748353,0,0,0,0,96.2,79.5,2.732793522,14.3,117000,27625,17.5,20.46035806,135.5932203,143.9884809,6.8,No,6.821705426,50.7,38,514.9,0,0,10.6,0,15.1,0,0,17.30769231,51.36107,55198,40.89635854,0,1947,23.9856189,21.62300976,27,1.386748844,25,1.284026708,3,0.154083205,0,0,185,9.501797637,1692,86.90292758,12,0.656455142,50.53929122,1901,100
48013,Texas,Atascosa,2017,8872.7,22.45705562,8.61618799,15.48143759,27.9,8.3,30.1,40.16833293,16.30025067,14.66666667,443.8,57.46839654,20.51607859,23.02508,39.22783,39.22783,61.46,94.1,44.12728527,4.771834538,29.9,101422,21324,39.8527067,7.954117302,176.6500723,66.71567648,8.8,No,17.88671746,44,636,420.2,41.49768933,4.780530204,10.8,107.3,9.8,0,21.23985335,12.13802046,39.22783,49047,61.33979015,8.3,48435,27.52554971,14.15505316,457,0.943532569,618,1.275936823,307,0.633839166,55,0.113554248,30751,63.48921235,16543,34.15505316,1994,4.570040337,50.19717147,27266,60.71118434
48015,Texas,Austin,2017,6704.7,16.61642628,7.351778656,14.44934303,27,7.4,22.3,58.20811486,17.33035418,28.125,232.3,41.29184486,19.40486169,24.04342,37.20867,23.67825,55.07,95.7,57.35954187,4.564080825,18.9,104090,23035,24.26801802,12.36518513,240.0753538,80.10662468,9.3,No,13.84832784,35.6,351,324.6,35.54165482,0,9.7,171.6,15.3,0,20.84594844,14.00464544,30.44346,57960,52.45359309,0,29563,24.15181139,17.99884991,2624,8.875959815,250,0.845651659,172,0.581808342,6,0.02029564,7759,26.24564489,18626,63.00443122,984,3.626981202,50.41775192,18853,66.34408981
48017,Texas,Bailey,2017,7156,28.14741841,8.061002179,18.33362634,26.7,7.9,25.9,80.09769714,14.59634337,50,253,92.46785058,30.67474048,43.41534,27.73925,0,61.86,95.8,41.47540984,4.310032597,26,70589,20777,18.04855703,17.36613604,156.9496376,75.81926933,7,Yes,18.6440678,18.4,73,343,0,0,9.5,0,12.6,0,26.09079597,18.8137164,69.34813,38299,85.1018974,0,7210,31.73370319,14.38280166,78,1.081830791,213,2.954230236,51,0.707350902,9,0.12482663,4570,63.38418863,2472,34.28571429,1150,17.43480898,49.41747573,2060,28.7508723
48019,Texas,Bandera,2017,5373.5,14.35214952,9.462915601,13.09717599,27.1,7.2,23.6,62.46033683,16.68580799,40,87.4,27.5024777,21.14988411,23.93261,14.10504,28.21007,43.15,97.6,62.48,3.986928105,23.8,97679,25478,25.10448593,11.48765078,107.6668434,73.19163689,8.2,Yes,11.36228436,54.6,300,296.8,0,0,11.3,64.1,15.8,0,29.02817807,16.04938272,9.40336,53662,51.66732052,0,21269,17.21754666,25.39376557,158,0.742865203,240,1.12840284,130,0.611218205,8,0.037613428,3838,18.04504208,16763,78.81423668,153,0.768651093,50.59006065,20485,100
48021,Texas,Bastrop,2017,7663.3,18.87465574,7.253158634,16.30669392,33.1,6.1,22,57.14632404,17.99258392,31.11111111,436.5,45.48611111,23.02191324,25.61836,28.56185,52.15642,57.16,93.5,47.21404542,3.880972788,21.7,104717,24392,28.27149694,8.069784422,322.9524072,83.52871072,9.2,No,16.77152969,53.2,1013,377.3,39.19040214,5.200126064,9.7,162.7,14.4,10.66457357,22.55397448,15.8624031,29.80367,56866,67.23022334,3.8,80527,25.52311647,14.07850783,5814,7.219938654,1410,1.750965515,780,0.968619221,133,0.165161995,28835,35.80786569,43714,54.28489823,4205,5.833714849,49.20213096,47360,63.85244907
48023,Texas,Baylor,2017,12942,15.58453448,10.50724638,15.06081854,28.1,6.7,25.7,0,15.98293666,21.05263158,110.7,62.93706294,21.91220238,111.35857,27.63958,0,78.5,97.2,67.15210356,3.571428571,28.4,82167,14986,18.359375,22.27171492,299.4827117,120.958874,7.2,No,6.944444444,7.3,72,502.1,0,0,12.2,0,18.3,0,66.30265211,14.35832275,27.63958,38231,52.86195286,0,3618,21.14427861,25.01381979,104,2.874516307,22,0.608070757,8,0.221116639,3,0.08291874,484,13.37755666,2952,81.5920398,15,0.428571429,51.2437811,3726,100
48025,Texas,Bee,2017,7510.2,23.74487813,9.360902256,17.27322923,29.3,6.6,23.5,65.80458868,18.45030903,17.24137931,637.2,70.39089411,19.91289844,21.30055,27.37726,36.50301,82.79,86.8,39.2953149,6.279540851,29,77055,17084,44.29411765,7.607339561,181.3062151,58.83867172,8.2,Yes,15.16393443,27.7,401,417.7,67.83533864,8.042895442,8.7,843.2,14.7,0,19.39325556,10.40974529,45.62876,42540,69.52830189,6.2,32874,21.35426173,11.42848452,2688,8.176674576,276,0.839569265,217,0.660096125,27,0.082131776,19105,58.11583622,10580,32.18348847,900,2.926258291,39.77611486,13693,42.97730768
48027,Texas,Bell,2017,7238.9,16.22034003,8.771969766,18.07444253,29,5.2,23.9,85.77852273,18.25871548,30.28846154,1087.4,56.05678832,15.1473314,82.94343,75.83425,191.67555,50.78,82.3,65.83015562,4.681675532,23,93550,22822,33.0411321,8.172814,389.388573,56.83921194,9.3,Yes,14.75732821,20.9,3308,375.5,72.57828184,8.357053399,9.2,205.4,20.9,7.265945723,14.37216406,8.18724634,148.98146,48894,56.17608712,6.1,334941,27.8099725,10.13372504,70012,20.90278586,3896,1.163189935,10878,3.247736169,2706,0.807903482,80582,24.05856554,158960,47.45910474,7309,2.460487115,49.95327535,47113,15.18622979
48029,Texas,Bexar,2017,6861.3,21.14206586,9.163291261,12.98041764,27.3,7,20.7,96.31543067,16.5179609,36.1774744,568.6,48.33526854,18.68360271,72.20349,79.51509,149.91414,42.51,87.7,62.69221512,3.829004653,22.2,101094,21455,37.89274118,5.851715587,475.5367877,57.56557109,9.9,Yes,18.44799074,32.4,18613,347.5,51.96033832,6.059536416,8.9,347.6,13,10.32088252,10.64451499,9.129609012,72.5595,52230,63.50476873,6.2,1897753,26.04495949,11.49459387,138115,7.277817503,23335,1.229612073,57458,3.0276859,3994,0.210459422,1129340,59.50932498,545346,28.73640563,103466,6.114115662,50.7472258,77835,4.539084765
48031,Texas,Blanco,2017,7937.8,14.66167226,6.172839506,13.86728972,28.7,7.8,23.3,59.28360484,16.80985507,34.61538462,289.1,24.43792766,24.38966012,36.99593,36.35042,0,37.32,98.3,58.61376193,3.136434919,18.2,112519,25113,25.98274209,13.87347392,166.8778392,85.51139532,8.2,Yes,14.74597274,36.9,144,325,0,0,11.2,88.8,14.4,0,17.42487199,21.66281755,18.17521,53449,45.98453302,0,11004,18.76590331,23.65503453,104,0.945110869,138,1.254089422,88,0.799709197,17,0.154489277,2101,19.09305707,8531,77.52635405,319,3.107344633,49.84551072,10497,100
48033,Texas,Borden,2017,0,12.40557158,0,12.65897081,27.3,5.1,26,0,18.80030116,0,0,0,13.8996139,0,0,0,0,100,83.87096774,2.898550725,14.5,106500,30500,13.7755102,0,265.3927813,0,6.9,Yes,3.555555556,44.7,0,0,0,0,11.3,2244.5,14.3,0,0,11.9205298,0,63358,24.09638554,0,648,25.46296296,20.67901235,4,0.617283951,7,1.080246914,1,0.154320988,0,0,115,17.74691358,516,79.62962963,3,0.499168053,46.60493827,641,100
48035,Texas,Bosque,2017,8437.6,16.37859224,7.214121259,14.78579264,27.8,6.6,26.8,18.03755765,16.28891791,40,308,36.58838072,25.11703946,44.99438,39.12582,11.1788,55.26,97.1,50.44476327,4.530222167,24.6,85822,20450,28.0715005,16.87289089,76.44383289,72.25674489,8.8,No,12.76747504,44.5,321,415.6,63.66993506,0,10.2,58.1,16.9,0,22.19175259,18.70181547,44.71522,47135,63.93067364,0,17891,21.89368957,23.96735789,334,1.866860433,157,0.877536191,92,0.514225029,4,0.02235761,3150,17.60661785,14032,78.43049578,608,3.577312309,50.69588061,14791,81.21568197
48037,Texas,Bowie,2017,9282.6,18.47574257,9.616295595,16.86418117,32.4,5,29.4,49.28752768,16.33432093,20.87912088,581.9,60.94276094,18.33524183,79.3353,51.39792,83.52161,49.6,92.9,53.66418729,4.844783715,26.2,86884,17129,42.00750215,14.15170196,553.7526217,69.08507333,10.1,Yes,15.35048802,14.3,1545,489,71.78750897,5.877512637,12.7,247.9,23.7,7.139007178,16.28544389,9.941089838,101.72504,42515,59.96426378,8.4,93389,23.73834178,15.76952318,22705,24.31228517,931,0.996905417,1124,1.203567872,93,0.099583463,6984,7.478396813,60141,64.39837668,1039,1.191308835,49.60113075,32791,35.4248366
48039,Texas,Brazoria,2017,6312.8,15.93472213,8.177192457,14.25869308,31.2,7.1,24.3,76.97068009,18.8270603,36.04651163,358.5,43.36050737,15.66181066,63.88189,49.6662,53.13128,59.45,93.2,66.66596315,4.567035678,13.5,130375,29767,27.52671979,6.950112976,174.9493515,51.34324041,11.2,Yes,14.45481131,47.5,3421,333.4,43.50500723,4.914446675,9.1,153.8,15.2,7.98282805,14.24300406,10.04914188,41.86976,71230,44.73680263,3.5,346312,26.773834,11.11454411,45264,13.07029499,2858,0.825267389,22369,6.459204417,298,0.086049574,102812,29.68768047,170027,49.09647948,12227,3.977553676,49.30987087,70552,22.52862699
48041,Texas,Brazos,2017,5306.3,17.34892678,7.107935314,13.22519692,28.4,4.4,18.9,89.55047703,21.05515087,24.44444444,659.1,23.43301707,19.50628094,84.62745,50.68895,78.59113,51.44,83.4,67.90398841,3.39050244,19.7,91102,13856,34.32617656,8.175872093,364.7087737,38.70716131,9.2,Yes,29.75512529,11.1,1378,293.9,41.71317784,4.469574583,7.6,196.7,22.2,8.926393912,10.19876977,12.49353976,46.96866,44767,56.43245833,3.1,215037,20.4592698,8.415761009,23041,10.71490023,1470,0.683603287,12578,5.849225947,256,0.11904928,53604,24.92780312,122311,56.87904872,9777,5.084560659,49.30686347,23506,12.06357678
48043,Texas,Brewster,2017,5307.8,21.00286142,9,16.03638026,27.7,6.9,26.2,61.35181976,15.95203471,44.44444444,549.2,44.02515723,21.52966794,54.50779,32.80481,109.34937,45.46,97.2,71.42216241,4.012266803,21.9,83750,18047,23.84868421,20.71296195,141.5828968,86.38189436,6.3,No,12.04819277,11.4,98,273.3,0,0,9.7,0,14.4,0,0,13.26584976,76.54456,41785,50.89666951,0,9145,19.15800984,20.53581192,91,0.995079278,152,1.662110443,112,1.224712958,11,0.120284308,3968,43.38983051,4807,52.56424276,197,2.267234434,50.4866047,3219,34.86785095
48045,Texas,Briscoe,2017,0,20.61131659,13.91304348,16.50278223,26.4,2.8,23.5,1.099572389,14.86956877,0,0,36.47416413,35.35958904,0,0,0,65.05,100,47.81341108,3.826955075,30.4,83846,17969,34.09090909,19.53125,21.05706465,0,6.8,Yes,8.26446281,30.1,23,383.2,0,0,11.2,0,15.8,0,0,29.47976879,66.44518,42261,51.06951872,0,1505,21.06312292,24.58471761,46,3.056478405,11,0.73089701,1,0.066445183,0,0,426,28.30564784,1003,66.64451827,148,9.402795426,50.09966777,1637,100
48047,Texas,Brooks,2017,9604.8,42.39712085,10.12793177,20.8243653,27.2,7.3,24.2,41.94932853,11.77050947,5.882352941,704.7,123.8038278,23.054458,0,13.83126,0,102.68,82.5,35.88362069,9.988474837,46.5,57841,10194,51.83571873,6.950236308,234.8390662,80.45721896,7.6,No,15.36885246,22.2,122,544.3,0,0,10.8,195.2,12.1,0,21.75460802,10.25395304,27.66252,30124,82.91098116,0,7230,28.3264177,17.82849239,40,0.553250346,49,0.677731674,103,1.42461964,3,0.041493776,6470,89.48824343,604,8.354080221,511,7.797955135,49.90318119,2294,31.75965665
48049,Texas,Brown,2017,9404.1,17.80325102,9.232769831,16.16607985,25.2,5.6,25.9,61.30793051,16.4830578,26.31578947,408,48.98003709,20.9821276,53.11662,36.94321,153.05045,57.35,95.6,51.49393091,4.364529538,25.7,81016,18199,33.13539192,16.73173452,308.9598352,69.72727129,7.6,Yes,10.66766132,13.7,728,515.5,66.20991422,10.5803142,9.5,137.2,18.1,15.88730604,14.31714742,11.98281709,68.60882,41981,58.63799283,0,37896,22.63035677,19.67753853,1315,3.470023221,313,0.825944691,235,0.620118218,29,0.076525227,8116,21.41650834,27484,72.52480473,483,1.354686711,50.50401098,15395,40.40046187
48051,Texas,Burleson,2017,8387.2,16.37086119,7.488986784,14.76689901,29.8,6.9,28.9,43.16634666,16.83674612,33.33333333,413.5,47.0177324,23.5548508,34.77656,5.72738,11.45475,59.25,93,40.56109072,4.418453541,24.7,97965,19896,36.41618497,13.91062424,155.2140421,82.15310562,8.8,Yes,11.90095847,43.9,279,425.6,63.33122229,0,12.2,130.6,17,0,29.82922767,17.19823356,22.90951,50113,58.99202321,0,17460,22.43986254,19.69072165,2172,12.43986254,189,1.082474227,67,0.38373425,8,0.045819015,3578,20.49255441,11347,64.98854525,534,3.271657885,50.05154639,13175,76.65677547
