FIPS,State,County,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
48001,Texas,Anderson,2015,10106.14,21.3,8.215102975,21.6,35.6,5.7,28.9,32.40959321,26,27.53623188,374.6,68.75860712,25.21080387,41.2442,25.88974,34.51966,69.88,91.8631579,37.28627795,7.196744548,27.7,87124,17081,37.64174344,11.68585668,302.2664343,83.41085165,9.18,17.70533552,13.66479049,25,983,514.6,72.16269407,6,11.8,380.2,19.9,14.01920878,26.8086624,14.48778397,25.88974,41279,53.44642217,7,57938,19.27750354,13.44368118,12008,20.72560323,380,0.65587352,480,0.828471815,79,0.136352653,9800,16.91463288,34906,60.24716076,1532,2.777727413,39.18844282,39204,67.06353279
48003,Texas,Andrews,2015,8959.87,28.2,9.161147903,0,29.5,7.2,26.6,92.18179359,0,40,409.5,86.82874699,24.67975494,49.63703,23.81094,5.95274,64.18,91,45.21912351,3.713270907,15.3,117668,21668,28.89767238,8.686480114,518.0096139,107.9309242,9.9,100,13.66698749,33.6,183,424.6,66.85236769,0,9.9,39.2,11.7,0,39.30972129,16.22110553,53.57462,62781,17.25754468,0,16799,30.28156438,10.01250074,254,1.511994762,260,1.547711173,131,0.779808322,4,0.023810941,8978,53.44365736,7212,42.93112685,1369,9.64695934,49.33031728,2440,16.50209658
48005,Texas,Angelina,2015,8793.97,25.9,9.102104792,20.7,29.7,5.6,28.6,69.95194247,9.9,32.18390805,514.9,67.19051428,24.50416569,62.78754,36.5961,105.2138,75.3,89.64557522,51.29424678,6.287253411,33.1,82370,18753,39.885347,12.44334852,348.0234538,68.81787972,9.06,19.27676172,15.08856683,17.8,1238,451,47.38060626,5.3,11.5,159,19.1,9.478594175,21.95042862,13.23148844,41.17062,41804,57.80607583,5.8,87441,26.36063174,14.5972713,13078,14.95637058,672,0.768518201,964,1.102457657,41,0.046888759,18197,20.81060372,54193,61.97664711,3557,4.406699869,51.10074222,37383,43.08236623
48007,Texas,Aransas,2015,11334.1,0,8.976464149,0,28.2,5.9,28,89.80913723,0,27.5862069,545.8,66.85981725,26.27220976,37.78655,32.84612,73.90376,58.14,88,52.89511153,6.067698956,37.6,95250,18672,33.86436049,9.656562264,201.3413303,102.6817038,8.71,0,18.94425259,28.9,472,489.9,66.20324396,0,12,107.4,15.9,23.86298973,17.74427441,14.61324191,24.63459,41666,56.57306956,9.3,24356,18.71407456,26.30152734,349,1.432911808,288,1.182460174,528,2.167843653,23,0.094432583,6352,26.07981606,16730,68.68943997,633,2.826397571,50.64049926,6313,27.26055791
48009,Texas,Archer,2015,5803.35,0,8.89292196,0,29.6,7.4,27.1,24.78462558,0,50,240.4,32.43791181,23.82016197,11.4482,0,0,46.55,0,55.98930481,4.913172385,14.5,97864,24464,15.47388781,13.73783629,120.99879,73.72983601,9.79,2.972940177,11.34969325,19.3,106,315.4,0,0,12.8,0,14.6,0,15.91165847,16.43169665,11.51941,56805,25.60043668,0,8681,22.41677226,17.87812464,44,0.506854049,105,1.209538072,22,0.253427025,3,0.034558231,740,8.524363553,7693,88.61882272,184,2.174940898,50.01727912,8057,88.98829247
48011,Texas,Armstrong,2015,0,0,7.831325301,0,27.5,4.8,26.6,2.1567596,0,35.71428571,0,51.02040816,22.42622951,0,0,0,0,0,81.2987013,4.052684904,15.5,106214,25913,27.34375,20.57613169,17.24435248,135.1351351,9.75,0,8,55.8,29,391.4,0,0,11.2,0,15.2,0,0,18.01801802,51.30836,52122,29.3956044,0,1949,22.11390457,21.13904566,25,1.282709082,25,1.282709082,0,0,0,0,185,9.492047204,1697,87.07029246,30,1.78041543,50.6926629,1901,100
48013,Texas,Atascosa,2015,8410.92,28.7,8.619192358,38.3,28.8,7.6,25.5,42.90262965,0,21.33333333,478,68.24146982,24.75702686,23.68342,36.09878,31.85187,63.76,92.8426087,43.9496787,6.223758953,28.3,94977,19574,35.42372881,7.966240365,171.4965445,61.19571098,8.36,0,17.73761714,49.9,590,414.3,44.35444991,6.2,10.2,99.4,13.4,7.367638768,17.93859874,13.34655502,23.35804,46631,53.56901599,4.7,47093,28.25260654,13.75151296,371,0.787802858,578,1.227358631,265,0.562716327,50,0.106172892,29481,62.60166054,16622,35.2961162,2011,4.750431106,50.33656807,27266,60.71118434
48015,Texas,Austin,2015,6601.54,30.8,7.335154116,17.9,27.8,7.5,26.6,59.14065524,18.7,52.77777778,223.6,43.18214752,25.06661028,17.47152,20.79939,24.26595,65.98,94.88442822,55.81622678,5.844698024,20.4,101471,22145,27.14587738,11.88063457,202.2513464,70.47762688,8.63,0,14.38095238,36.4,333,323.5,49.35486145,0,10.3,137.3,15,5.607352769,25.48796713,15.59532003,20.79939,52042,41.33075163,0,28847,24.28675426,17.31895864,2579,8.940271085,236,0.818109336,151,0.523451312,4,0.01386626,7360,25.51391826,18407,63.8090616,942,3.523602903,50.34145665,18853,66.34408981
48017,Texas,Bailey,2015,7590.6,0,7.933194155,0,28.8,7.7,27,80.41870202,0,16.66666667,322.6,97.99291618,30.88039867,70.12623,28.11358,0,113.47,97.5,42.94617564,6.926268752,31.5,76583,19179,14.24036281,18.23281907,251.8660988,87.14964437,9.18,1.901863827,13.87163561,23.7,69,350.1,0,0,9.8,0,13.8,0,32.32388533,16.17967728,42.17037,37626,71.68083715,0,7114,31.03739106,14.68934495,77,1.082372786,194,2.727017149,47,0.660669103,12,0.168681473,4345,61.07675007,2605,36.61793646,954,14.71767973,48.76300253,2060,28.7508723
48019,Texas,Bandera,2015,6273.8,0,9.325562032,22.1,28.7,7.2,28.5,63.35855504,0,40,102.3,32.89630513,26.1936721,24.3463,14.5624,19.41653,50.92,92.8587963,54.95240545,5.505891914,27.6,92881,21548,24.64657242,11.68622486,89.96417498,71.33643435,8.56,1.73462173,13.55223881,63.2,271,296.8,0,0,13.6,71,15.8,11.94147274,28.80002248,19.48085999,9.70827,50334,42.36111111,0,20601,17.64477453,23.91631474,133,0.645599728,241,1.169846124,97,0.47085093,8,0.038833066,3592,17.43604679,16417,79.6903063,213,1.090127437,50.5752148,20485,100
48021,Texas,Bastrop,2015,6399.9,14.4,7.238184958,22.1,31,6,28.8,56.66500384,16.8,31.32530121,375.9,49.59746136,26.17303097,28.08876,25.0577,51.43422,68.76,88.51155462,45.92247405,6.132599756,27.2,99003,22811,26.59081332,8.827896152,368.7931972,73.23829471,8.67,0,17.18260188,55.9,845,338.7,43.87379831,5.5,10.3,148.1,15.1,10.95691,24.45738838,16.46787612,25.0577,50151,53.78006873,3.8,75825,25.61688098,13.35443455,5549,7.318166832,1309,1.726343554,749,0.987800857,109,0.143752061,25939,34.20903396,42310,55.79953841,4109,5.878650014,48.97856907,47360,63.85244907
48023,Texas,Baylor,2015,10163.04,10.8,9.931506849,0,27.5,7.2,24.6,0,0,15.78947368,0,68.65284974,23.97487994,110.40574,27.67017,0,111.54,0,63.34776335,4.851752022,32.3,67814,15046,18.83852691,22.08114822,379.6239075,134.676507,9.73,0,7.826086957,10.4,73,511.5,0,0,11.8,0,16,0,49.35834156,14.19518378,27.67017,34563,45.96491228,0,3614,20.9186497,25.01383509,94,2.600996126,21,0.581073603,5,0.138350858,3,0.083010515,449,12.42390703,3008,83.23187604,24,0.687088463,51.74322081,3726,100
48025,Texas,Bee,2015,6823.77,17.7,9.50584685,0,30.4,6.2,23.2,67.28288503,0,4.347826087,547.2,73.66701322,22.35294118,30.74369,21.34211,24.39099,104.41,87.4463807,40.12607111,6.539449541,31.2,76469,17115,43.69574812,7.993359363,219.6600941,56.19345534,8.49,44.54764169,14.99118166,27.5,338,372.2,60.96249014,7.7,9.5,775.1,17.1,5.355373671,18.29752671,10.86986778,30.48873,41804,56.27959841,0,32799,21.49150889,11.17107229,2613,7.966706302,273,0.83234245,212,0.64636117,32,0.09756395,18842,57.44687338,10860,33.11076557,1089,3.582236842,40.13841885,13693,42.97730768
48027,Texas,Bell,2015,7517.87,18.9,8.764976747,19.4,29.6,5.4,22.7,86.64721904,13.3,32.87037037,1237.3,63.24170252,19.03346374,82.65307,69.75826,174.39566,52.97,87.7571724,63.83880553,6.968329737,21.5,93088,22532,34.59315101,7.893832595,413.7139615,55.51279541,8.99,1.665954899,14.98854162,18.8,2995,370.1,81.61090866,7.8,8.5,166.8,20.1,6.591070096,15.50561095,9.778188937,132.17355,50223,41.93135792,5.2,326843,27.7812283,9.517107602,66946,20.48261704,3756,1.149175598,10397,3.181037991,2648,0.810174916,75828,23.20012973,159941,48.93511564,6658,2.315310679,49.97873597,47113,15.18622979
